ligand,iteration,standalone_ls_score
5cst_ligand,1,-3.82605
5cst_ligand,2,7.82686
5cst_ligand,3,50.8538
5cst_ligand,4,1184.21
5cst_ligand,5,11669.6
5cst_ligand,6,37861.7
5cst_ligand,7,3103.55
5cst_ligand,8,923.927
5cst_ligand,9,35.085
5cst_ligand,10,33.4656
5cst_ligand,11,31.8969
5cst_ligand,12,30.3747
5cst_ligand,13,28.8994
5cst_ligand,14,27.4817
5cst_ligand,15,26.1021
5cst_ligand,16,24.7594
5cst_ligand,17,23.4531
5cst_ligand,18,22.1796
5cst_ligand,19,20.9748
5cst_ligand,20,19.9193
5cst_ligand,21,18.8817
5cst_ligand,22,17.86
5cst_ligand,23,16.8625
5cst_ligand,24,15.8904
5cst_ligand,25,14.9318
5cst_ligand,26,13.9862
5cst_ligand,27,13.0532
5cst_ligand,28,12.332
5cst_ligand,29,11.9932
5cst_ligand,30,11.6614
5cst_ligand,31,11.3361
5cst_ligand,32,11.0184
5cst_ligand,33,10.7155
5cst_ligand,34,10.4194
5cst_ligand,35,10.1289
5cst_ligand,36,9.84289
5cst_ligand,37,9.56149
5cst_ligand,38,9.28427
5cst_ligand,39,9.01119
5cst_ligand,40,8.74179
5cst_ligand,41,8.47637
5cst_ligand,42,8.21416
5cst_ligand,43,7.95579
5cst_ligand,44,7.70071
5cst_ligand,45,7.44904
5cst_ligand,46,7.2009
5cst_ligand,47,6.95574
5cst_ligand,48,6.71337
5cst_ligand,49,6.47385
5cst_ligand,50,6.23698
5cst_ligand,51,6.00346
5cst_ligand,52,5.77175
5cst_ligand,53,5.54269
5cst_ligand,54,5.31556
5cst_ligand,55,5.09086
5cst_ligand,56,4.86761
5cst_ligand,57,4.64629
5cst_ligand,58,4.42653
5cst_ligand,59,4.20817
5cst_ligand,60,3.99092
5cst_ligand,61,3.77532
5cst_ligand,62,3.56043
5cst_ligand,63,3.34689
5cst_ligand,64,3.13392
5cst_ligand,65,2.92165
5cst_ligand,66,2.7106
5cst_ligand,67,2.49999
5cst_ligand,68,2.28956
5cst_ligand,69,2.07955
5cst_ligand,70,1.86989
5cst_ligand,71,1.66003
5cst_ligand,72,1.45024
5cst_ligand,73,1.23996
5cst_ligand,74,1.03003
5cst_ligand,75,0.819375
5cst_ligand,76,0.607875
5cst_ligand,77,0.395392
5cst_ligand,78,0.18216
5cst_ligand,79,-0.0324423
5cst_ligand,80,-0.248525
5cst_ligand,81,-0.465968
5cst_ligand,82,-0.685382
5cst_ligand,83,-0.906805
5cst_ligand,84,-1.13035
5cst_ligand,85,-1.35665
5cst_ligand,86,-1.58549
5cst_ligand,87,-1.81737
5cst_ligand,88,-2.05272
5cst_ligand,89,-2.29194
5cst_ligand,90,-2.53477
5cst_ligand,91,-2.78231
5cst_ligand,92,-3.03506
5cst_ligand,93,-3.29273
5cst_ligand,94,-3.55614
5cst_ligand,95,-3.82541
5cst_ligand,96,-4.10178
5cst_ligand,97,-4.38606
5cst_ligand,98,-4.67748
5cst_ligand,99,-4.9754
5cst_ligand,100,-5.28291
5cst_ligand,101,-5.59977
5cst_ligand,102,-5.63791
5cst_ligand,103,-5.67674
5cst_ligand,104,-5.71634
5cst_ligand,105,-5.7567
5cst_ligand,106,-5.78967
5cst_ligand,107,-5.80589
5cst_ligand,108,-5.82245
5cst_ligand,109,-5.83936
5cst_ligand,110,-5.8566
5cst_ligand,111,-5.87423
5cst_ligand,112,-5.89225
5cst_ligand,113,-5.91056
5cst_ligand,114,-5.92932
5cst_ligand,115,-5.94851
5cst_ligand,116,-5.9681
5cst_ligand,117,-5.98812
5cst_ligand,118,-6.00859
5cst_ligand,119,-6.02951
5cst_ligand,120,-6.05091
5cst_ligand,121,-6.07278
5cst_ligand,122,-6.09515
5cst_ligand,123,-6.11802
5cst_ligand,124,-6.14146
5cst_ligand,125,-6.16536
5cst_ligand,126,-6.18987
5cst_ligand,127,-6.21492
5cst_ligand,128,-6.24058
5cst_ligand,129,-6.26682
5cst_ligand,130,-6.29361
5cst_ligand,131,-6.32078
5cst_ligand,132,-6.34868
5cst_ligand,133,-6.3773
5cst_ligand,134,-6.40659
5cst_ligand,135,-6.4366
5cst_ligand,136,-6.46733
5cst_ligand,137,-6.4988
5cst_ligand,138,-6.53099
5cst_ligand,139,-6.56398
5cst_ligand,140,-6.59777
5cst_ligand,141,-6.63233
5cst_ligand,142,-6.66777
5cst_ligand,143,-6.70406
5cst_ligand,144,-6.74112
5cst_ligand,145,-6.77907
5cst_ligand,146,-6.81786
5cst_ligand,147,-6.85765
5cst_ligand,148,-6.89743
5cst_ligand,149,-6.93721
5cst_ligand,150,-6.97796
5cst_ligand,151,-7.01974
