ligand,iteration,com_distance
5uez_ligand,1,0
5uez_ligand,2,0.364349
5uez_ligand,3,0.61886
5uez_ligand,4,0.514847
5uez_ligand,5,0.736208
5uez_ligand,6,0.74812
5uez_ligand,7,1.05282
5uez_ligand,8,1.03558
5uez_ligand,9,1.06976
5uez_ligand,10,0.747056
5uez_ligand,11,0.653671
5uez_ligand,12,0.56286
5uez_ligand,13,0.691692
5uez_ligand,14,0.604074
5uez_ligand,15,0.502618
5uez_ligand,16,0.671585
5uez_ligand,17,0.599058
5uez_ligand,18,0.498059
5uez_ligand,19,0.691306
5uez_ligand,20,0.623136
5uez_ligand,21,0.523794
5uez_ligand,22,0.727261
5uez_ligand,23,0.683611
5uez_ligand,24,0.593104
5uez_ligand,25,0.504524
5uez_ligand,26,0.677458
5uez_ligand,27,0.619448
5uez_ligand,28,0.528314
5uez_ligand,29,0.455407
5uez_ligand,30,0.642305
5uez_ligand,31,0.567475
5uez_ligand,32,0.488277
5uez_ligand,33,0.683286
5uez_ligand,34,0.572878
5uez_ligand,35,0.494444
5uez_ligand,36,0.428651
5uez_ligand,37,0.623388
5uez_ligand,38,0.537897
5uez_ligand,39,0.453483
5uez_ligand,40,0.652207
5uez_ligand,41,0.530669
5uez_ligand,42,0.459551
5uez_ligand,43,0.665216
5uez_ligand,44,0.54346
5uez_ligand,45,0.4759
5uez_ligand,46,0.400973
5uez_ligand,47,0.612097
5uez_ligand,48,0.498277
5uez_ligand,49,0.420864
5uez_ligand,50,0.633698
5uez_ligand,51,0.491767
5uez_ligand,52,0.410396
5uez_ligand,53,0.617337
5uez_ligand,54,0.522409
5uez_ligand,55,0.440702
5uez_ligand,56,0.628522
5uez_ligand,57,0.497596
5uez_ligand,58,0.413991
5uez_ligand,59,0.606013
5uez_ligand,60,0.457623
5uez_ligand,61,0.371932
5uez_ligand,62,0.5885
5uez_ligand,63,0.451336
5uez_ligand,64,0.365771
5uez_ligand,65,0.604512
5uez_ligand,66,0.426016
5uez_ligand,67,0.333663
5uez_ligand,68,0.568808
5uez_ligand,69,0.410397
5uez_ligand,70,0.329826
5uez_ligand,71,0.544923
5uez_ligand,72,0.382312
5uez_ligand,73,0.303662
5uez_ligand,74,0.553005
5uez_ligand,75,0.343992
5uez_ligand,76,0.545499
5uez_ligand,77,0.388957
5uez_ligand,78,0.301148
5uez_ligand,79,0.520804
5uez_ligand,80,0.368866
5uez_ligand,81,0.295333
5uez_ligand,82,0.541034
5uez_ligand,83,0.371747
5uez_ligand,84,0.298033
5uez_ligand,85,0.55369
5uez_ligand,86,0.4097
5uez_ligand,87,0.32346
5uez_ligand,88,0.261106
5uez_ligand,89,0.485382
5uez_ligand,90,0.356878
5uez_ligand,91,0.28405
5uez_ligand,92,0.52162
5uez_ligand,93,0.35
5uez_ligand,94,0.272028
5uez_ligand,95,0.50782
5uez_ligand,96,0.324031
5uez_ligand,97,0.254594
5uez_ligand,98,0.489878
5uez_ligand,99,0.357908
5uez_ligand,100,0.259206
5uez_ligand,101,0.48709
5uez_ligand,102,0.305741
5uez_ligand,103,0.239138
5uez_ligand,104,0.513334
5uez_ligand,105,0.354542
5uez_ligand,106,0.260626
5uez_ligand,107,0.513398
5uez_ligand,108,0.327113
5uez_ligand,109,0.238144
5uez_ligand,110,0.549439
5uez_ligand,111,0.362212
5uez_ligand,112,0.274617
5uez_ligand,113,0.217421
5uez_ligand,114,0.559022
5uez_ligand,115,0.353107
5uez_ligand,116,0.251216
5uez_ligand,117,0.524801
5uez_ligand,118,0.335572
5uez_ligand,119,0.25464
5uez_ligand,120,0.48324
5uez_ligand,121,0.294306
5uez_ligand,122,0.239006
5uez_ligand,123,0.503211
5uez_ligand,124,0.334664
5uez_ligand,125,0.22096
5uez_ligand,126,0.515054
5uez_ligand,127,0.324702
5uez_ligand,128,0.211121
5uez_ligand,129,0.501193
5uez_ligand,130,0.309749
5uez_ligand,131,0.205543
5uez_ligand,132,0.488269
5uez_ligand,133,0.27408
5uez_ligand,134,0.197257
5uez_ligand,135,0.485382
5uez_ligand,136,0.256053
5uez_ligand,137,0.206764
5uez_ligand,138,0.484304
5uez_ligand,139,0.2717
5uez_ligand,140,0.202616
5uez_ligand,141,0.485395
5uez_ligand,142,0.288112
5uez_ligand,143,0.200901
5uez_ligand,144,0.492744
5uez_ligand,145,0.325563
5uez_ligand,146,0.244526
5uez_ligand,147,0.179919
5uez_ligand,148,0.502133
5uez_ligand,149,0.383284
5uez_ligand,150,0.240906
5uez_ligand,151,0.187574
5uez_ligand,152,0.508255
5uez_ligand,153,0.310833
5uez_ligand,154,0.192093
5uez_ligand,155,0.379673
5uez_ligand,156,0.32438
5uez_ligand,157,0.163299
5uez_ligand,158,0.38494
5uez_ligand,159,0.307042
5uez_ligand,160,0.211825
5uez_ligand,161,0.372431
5uez_ligand,162,0.292338
5uez_ligand,163,0.19067
5uez_ligand,164,0.49828
5uez_ligand,165,0.291969
5uez_ligand,166,0.203913
5uez_ligand,167,0.367303
5uez_ligand,168,0.284732
5uez_ligand,169,0.197117
5uez_ligand,170,0.532575
5uez_ligand,171,0.322833
5uez_ligand,172,0.212557
5uez_ligand,173,0.402069
5uez_ligand,174,0.327273
5uez_ligand,175,0.191809
5uez_ligand,176,0.426497
5uez_ligand,177,0.345966
5uez_ligand,178,0.15763
5uez_ligand,179,0.451207
5uez_ligand,180,0.372646
5uez_ligand,181,0.177557
5uez_ligand,182,0.539418
5uez_ligand,183,0.32541
5uez_ligand,184,0.168456
5uez_ligand,185,0.622708
5uez_ligand,186,0.492855
5uez_ligand,187,0.213093
5uez_ligand,188,0.304116
5uez_ligand,189,0.230849
5uez_ligand,190,0.659605
5uez_ligand,191,0.529857
5uez_ligand,192,0.290563
5uez_ligand,193,0.175023
5uez_ligand,194,0.455415
5uez_ligand,195,0.402629
5uez_ligand,196,0.215146
5uez_ligand,197,0.475276
5uez_ligand,198,0.380672
5uez_ligand,199,0.292451
5uez_ligand,200,0.173123
5uez_ligand,201,0.471604
5uez_ligand,202,0.362331
5uez_ligand,203,0.203083
5uez_ligand,204,0.483979
5uez_ligand,205,0.390822
5uez_ligand,206,0.152334
5uez_ligand,207,0.625519
5uez_ligand,208,0.370322
5uez_ligand,209,0.239757
5uez_ligand,210,0.692613
5uez_ligand,211,0.375782
5uez_ligand,212,0.0680712
5uez_ligand,213,0.918254
5uez_ligand,214,0.755184
5uez_ligand,215,2.65693
5uez_ligand,216,1.37874
5uez_ligand,217,3.2432
5uez_ligand,218,3.10381
5uez_ligand,219,3.13999
5uez_ligand,220,3.10582
5uez_ligand,221,3.10389
5uez_ligand,222,3.10193
5uez_ligand,223,3.10032
5uez_ligand,224,3.09909
5uez_ligand,225,3.10459
5uez_ligand,226,3.11778
5uez_ligand,227,3.13162
5uez_ligand,228,3.14572
5uez_ligand,229,3.15783
5uez_ligand,230,3.14177
5uez_ligand,231,3.15426
5uez_ligand,232,3.13929
5uez_ligand,233,3.12509
5uez_ligand,234,3.1125
5uez_ligand,235,3.10054
5uez_ligand,236,3.11529
5uez_ligand,237,3.10479
5uez_ligand,238,3.09483
5uez_ligand,239,3.08538
5uez_ligand,240,3.07878
5uez_ligand,241,3.07245
5uez_ligand,242,3.06638
5uez_ligand,243,3.06067
5uez_ligand,244,3.0552
5uez_ligand,245,3.07474
5uez_ligand,246,3.06954
5uez_ligand,247,3.06457
5uez_ligand,248,3.05982
5uez_ligand,249,3.05521
5uez_ligand,250,3.05083
5uez_ligand,251,3.04682
5uez_ligand,252,3.04321
5uez_ligand,253,3.03979
5uez_ligand,254,3.03654
5uez_ligand,255,3.03346
5uez_ligand,256,3.03056
5uez_ligand,257,3.02799
5uez_ligand,258,3.02571
5uez_ligand,259,3.02356
5uez_ligand,260,3.02152
5uez_ligand,261,3.0208
5uez_ligand,262,3.02011
5uez_ligand,263,3.01944
5uez_ligand,264,3.01869
5uez_ligand,265,3.01834
5uez_ligand,266,3.01801
5uez_ligand,267,3.01822
5uez_ligand,268,3.01805
5uez_ligand,269,3.01935
5uez_ligand,270,3.02081
5uez_ligand,271,3.02221
5uez_ligand,272,3.02353
5uez_ligand,273,3.02478
5uez_ligand,274,3.02589
5uez_ligand,275,3.02692
5uez_ligand,276,3.02814
5uez_ligand,277,3.02902
5uez_ligand,278,3.02984
5uez_ligand,279,3.03059
5uez_ligand,280,3.03158
5uez_ligand,281,3.03214
5uez_ligand,282,3.03297
5uez_ligand,283,3.03333
5uez_ligand,284,3.03272
5uez_ligand,285,3.03153
5uez_ligand,286,3.03059
5uez_ligand,287,3.02948
5uez_ligand,288,3.0277
5uez_ligand,289,3.02643
5uez_ligand,290,3.02482
5uez_ligand,291,3.02276
5uez_ligand,292,3.02049
5uez_ligand,293,3.02144
5uez_ligand,294,3.01867
5uez_ligand,295,3.01896
5uez_ligand,296,3.01935
5uez_ligand,297,3.01986
5uez_ligand,298,3.0168
5uez_ligand,299,3.0168
5uez_ligand,300,3.01686
