ligand,iteration,standalone_ls_score
5uez_ligand,1,-9.45327
5uez_ligand,2,-9.63983
5uez_ligand,3,-8.17592
5uez_ligand,4,-8.42768
5uez_ligand,5,-6.62747
5uez_ligand,6,-5.26297
5uez_ligand,7,2.58158
5uez_ligand,8,-3.39076
5uez_ligand,9,-3.41187
5uez_ligand,10,-7.59581
5uez_ligand,11,-9.14407
5uez_ligand,12,-9.37896
5uez_ligand,13,-9.04293
5uez_ligand,14,-9.35646
5uez_ligand,15,-9.33387
5uez_ligand,16,-9.00212
5uez_ligand,17,-9.3748
5uez_ligand,18,-9.33701
5uez_ligand,19,-8.93172
5uez_ligand,20,-9.32166
5uez_ligand,21,-9.48415
5uez_ligand,22,-8.8997
5uez_ligand,23,-9.193
5uez_ligand,24,-9.37173
5uez_ligand,25,-9.44425
5uez_ligand,26,-9.02495
5uez_ligand,27,-9.31221
5uez_ligand,28,-9.47367
5uez_ligand,29,-9.24559
5uez_ligand,30,-9.09526
5uez_ligand,31,-9.39679
5uez_ligand,32,-9.34534
5uez_ligand,33,-8.98916
5uez_ligand,34,-9.36429
5uez_ligand,35,-9.50523
5uez_ligand,36,-9.22955
5uez_ligand,37,-9.10979
5uez_ligand,38,-9.43029
5uez_ligand,39,-9.31495
5uez_ligand,40,-9.04564
5uez_ligand,41,-9.41841
5uez_ligand,42,-9.48833
5uez_ligand,43,-8.99623
5uez_ligand,44,-9.40188
5uez_ligand,45,-9.50524
5uez_ligand,46,-9.28183
5uez_ligand,47,-9.03625
5uez_ligand,48,-9.48015
5uez_ligand,49,-9.33756
5uez_ligand,50,-9.05924
5uez_ligand,51,-9.46965
5uez_ligand,52,-9.44183
5uez_ligand,53,-9.0884
5uez_ligand,54,-9.45496
5uez_ligand,55,-9.46355
5uez_ligand,56,-9.12519
5uez_ligand,57,-9.47795
5uez_ligand,58,-9.5426
5uez_ligand,59,-9.14805
5uez_ligand,60,-9.53455
5uez_ligand,61,-9.47612
5uez_ligand,62,-9.09724
5uez_ligand,63,-9.55162
5uez_ligand,64,-9.36974
5uez_ligand,65,-9.10087
5uez_ligand,66,-9.57016
5uez_ligand,67,-9.47918
5uez_ligand,68,-9.13749
5uez_ligand,69,-9.60831
5uez_ligand,70,-9.44631
5uez_ligand,71,-9.28101
5uez_ligand,72,-9.64798
5uez_ligand,73,-9.49728
5uez_ligand,74,-9.16882
5uez_ligand,75,-9.61732
5uez_ligand,76,-9.30495
5uez_ligand,77,-9.64745
5uez_ligand,78,-9.59327
5uez_ligand,79,-9.32306
5uez_ligand,80,-9.66668
5uez_ligand,81,-9.54021
