ligand,iteration,com_distance
5wuk_ligand,1,0
5wuk_ligand,2,0.684146
5wuk_ligand,3,0.834973
5wuk_ligand,4,0.977478
5wuk_ligand,5,0.285435
5wuk_ligand,6,0.0833868
5wuk_ligand,7,0.0982548
5wuk_ligand,8,0.191369
5wuk_ligand,9,0.108094
5wuk_ligand,10,0.197737
5wuk_ligand,11,0.11426
5wuk_ligand,12,0.198831
5wuk_ligand,13,0.111873
5wuk_ligand,14,0.122301
5wuk_ligand,15,0.201802
5wuk_ligand,16,0.122096
5wuk_ligand,17,0.132648
5wuk_ligand,18,0.200924
5wuk_ligand,19,0.120567
5wuk_ligand,20,0.133362
5wuk_ligand,21,0.198915
5wuk_ligand,22,0.122581
5wuk_ligand,23,0.132896
5wuk_ligand,24,0.204518
5wuk_ligand,25,0.138747
5wuk_ligand,26,0.155654
5wuk_ligand,27,0.203454
5wuk_ligand,28,0.140169
5wuk_ligand,29,0.140564
5wuk_ligand,30,0.154888
5wuk_ligand,31,0.204592
5wuk_ligand,32,0.129058
5wuk_ligand,33,0.151034
5wuk_ligand,34,0.2107
5wuk_ligand,35,0.143268
5wuk_ligand,36,0.14602
5wuk_ligand,37,0.212635
5wuk_ligand,38,0.127867
5wuk_ligand,39,0.220951
5wuk_ligand,40,0.12789
5wuk_ligand,41,0.146962
5wuk_ligand,42,0.220384
5wuk_ligand,43,0.143778
5wuk_ligand,44,0.226649
5wuk_ligand,45,0.156211
5wuk_ligand,46,0.154425
5wuk_ligand,47,0.227227
5wuk_ligand,48,0.129234
5wuk_ligand,49,0.238825
5wuk_ligand,50,0.124986
5wuk_ligand,51,0.162502
5wuk_ligand,52,0.23169
5wuk_ligand,53,0.155896
5wuk_ligand,54,0.224067
5wuk_ligand,55,0.145159
5wuk_ligand,56,0.244163
5wuk_ligand,57,0.153753
5wuk_ligand,58,0.140421
5wuk_ligand,59,0.235088
5wuk_ligand,60,0.0979292
5wuk_ligand,61,0.126098
5wuk_ligand,62,0.247907
5wuk_ligand,63,0.132829
5wuk_ligand,64,0.285986
5wuk_ligand,65,0.157704
5wuk_ligand,66,0.145239
5wuk_ligand,67,0.119101
5wuk_ligand,68,0.275809
5wuk_ligand,69,0.136408
5wuk_ligand,70,0.165459
5wuk_ligand,71,0.196486
5wuk_ligand,72,0.134671
5wuk_ligand,73,0.335832
5wuk_ligand,74,0.132121
5wuk_ligand,75,0.2117
5wuk_ligand,76,0.127926
5wuk_ligand,77,0.321048
5wuk_ligand,78,0.174872
5wuk_ligand,79,0.284889
5wuk_ligand,80,0.151151
5wuk_ligand,81,0.344053
5wuk_ligand,82,0.151355
5wuk_ligand,83,0.231975
5wuk_ligand,84,0.129003
5wuk_ligand,85,0.298542
5wuk_ligand,86,0.153102
5wuk_ligand,87,0.179549
5wuk_ligand,88,0.1257
5wuk_ligand,89,0.310802
5wuk_ligand,90,0.111901
5wuk_ligand,91,0.25637
5wuk_ligand,92,0.0603615
5wuk_ligand,93,0.198025
5wuk_ligand,94,0.181629
5wuk_ligand,95,0.130882
5wuk_ligand,96,0.366872
5wuk_ligand,97,0.22644
5wuk_ligand,98,0.382885
5wuk_ligand,99,0.255939
5wuk_ligand,100,0.402915
5wuk_ligand,101,0.432121
5wuk_ligand,102,0.68023
5wuk_ligand,103,0.612975
5wuk_ligand,104,0.709536
5wuk_ligand,105,0.430513
5wuk_ligand,106,0.193642
5wuk_ligand,107,0.0552015
5wuk_ligand,108,0.148088
5wuk_ligand,109,0.136527
5wuk_ligand,110,0.120942
5wuk_ligand,111,0.244446
5wuk_ligand,112,0.169761
5wuk_ligand,113,0.259464
5wuk_ligand,114,0.173948
5wuk_ligand,115,0.351502
5wuk_ligand,116,0.188258
5wuk_ligand,117,0.348789
5wuk_ligand,118,0.216408
5wuk_ligand,119,0.33838
5wuk_ligand,120,0.168795
5wuk_ligand,121,0.347353
5wuk_ligand,122,0.245955
5wuk_ligand,123,0.198629
5wuk_ligand,124,0.152852
5wuk_ligand,125,0.242509
5wuk_ligand,126,0.178992
5wuk_ligand,127,0.193406
5wuk_ligand,128,0.126773
5wuk_ligand,129,0.275338
5wuk_ligand,130,0.174777
5wuk_ligand,131,0.377302
5wuk_ligand,132,0.232518
5wuk_ligand,133,0.362633
5wuk_ligand,134,0.181176
5wuk_ligand,135,0.375499
5wuk_ligand,136,0.302411
5wuk_ligand,137,0.410398
5wuk_ligand,138,0.422678
5wuk_ligand,139,0.365564
5wuk_ligand,140,0.263414
5wuk_ligand,141,0.36073
5wuk_ligand,142,0.224712
5wuk_ligand,143,0.37146
5wuk_ligand,144,0.328391
5wuk_ligand,145,0.269744
5wuk_ligand,146,0.189477
5wuk_ligand,147,0.416046
5wuk_ligand,148,0.372727
5wuk_ligand,149,0.412027
5wuk_ligand,150,0.484903
5wuk_ligand,151,0.624774
5wuk_ligand,152,0.547426
5wuk_ligand,153,0.227793
5wuk_ligand,154,0.165411
5wuk_ligand,155,0.17088
5wuk_ligand,156,0.154997
5wuk_ligand,157,0.244404
5wuk_ligand,158,0.15353
5wuk_ligand,159,0.366604
5wuk_ligand,160,0.287528
5wuk_ligand,161,0.347476
5wuk_ligand,162,0.286696
5wuk_ligand,163,0.309727
5wuk_ligand,164,0.192321
5wuk_ligand,165,0.370882
5wuk_ligand,166,0.32821
5wuk_ligand,167,0.393779
5wuk_ligand,168,0.556645
5wuk_ligand,169,0.656676
5wuk_ligand,170,1.397
5wuk_ligand,171,2.17427
5wuk_ligand,172,2.79648
5wuk_ligand,173,4.07083
5wuk_ligand,174,8.97585
5wuk_ligand,175,10.6121
5wuk_ligand,176,5.1975
5wuk_ligand,177,8.59999
5wuk_ligand,178,2.72148
5wuk_ligand,179,3.48286
5wuk_ligand,180,3.63619
5wuk_ligand,181,1.93825
5wuk_ligand,182,1.56841
5wuk_ligand,183,1.52404
5wuk_ligand,184,1.48018
5wuk_ligand,185,1.45219
5wuk_ligand,186,1.44055
5wuk_ligand,187,1.42822
5wuk_ligand,188,1.41612
5wuk_ligand,189,1.40711
5wuk_ligand,190,1.39761
5wuk_ligand,191,1.38874
5wuk_ligand,192,1.37933
5wuk_ligand,193,1.37058
5wuk_ligand,194,1.36191
5wuk_ligand,195,1.35389
5wuk_ligand,196,1.34527
5wuk_ligand,197,1.33694
5wuk_ligand,198,1.32781
5wuk_ligand,199,1.3194
5wuk_ligand,200,1.31109
5wuk_ligand,201,1.30323
5wuk_ligand,202,1.29609
5wuk_ligand,203,1.28903
5wuk_ligand,204,1.28123
5wuk_ligand,205,1.27412
5wuk_ligand,206,1.26717
5wuk_ligand,207,1.25952
5wuk_ligand,208,1.25254
5wuk_ligand,209,1.24515
5wuk_ligand,210,1.2382
5wuk_ligand,211,1.2326
5wuk_ligand,212,1.22655
5wuk_ligand,213,1.22106
5wuk_ligand,214,1.21561
5wuk_ligand,215,1.20973
5wuk_ligand,216,1.20423
5wuk_ligand,217,1.19879
5wuk_ligand,218,1.19292
5wuk_ligand,219,1.18742
5wuk_ligand,220,1.18196
5wuk_ligand,221,1.1764
5wuk_ligand,222,1.17083
5wuk_ligand,223,1.16525
5wuk_ligand,224,1.15968
5wuk_ligand,225,1.15422
5wuk_ligand,226,1.14865
5wuk_ligand,227,1.14308
5wuk_ligand,228,1.13749
5wuk_ligand,229,1.13191
5wuk_ligand,230,1.12642
5wuk_ligand,231,1.12084
5wuk_ligand,232,1.1154
5wuk_ligand,233,1.11009
5wuk_ligand,234,1.10468
5wuk_ligand,235,1.09935
5wuk_ligand,236,1.09393
5wuk_ligand,237,1.08858
5wuk_ligand,238,1.08353
5wuk_ligand,239,1.0784
5wuk_ligand,240,1.07333
5wuk_ligand,241,1.06825
5wuk_ligand,242,1.06317
5wuk_ligand,243,1.05808
5wuk_ligand,244,1.0529
5wuk_ligand,245,1.04778
5wuk_ligand,246,1.04265
5wuk_ligand,247,1.03751
5wuk_ligand,248,1.03236
5wuk_ligand,249,1.0272
5wuk_ligand,250,1.02205
5wuk_ligand,251,1.01688
5wuk_ligand,252,1.0117
5wuk_ligand,253,1.008
5wuk_ligand,254,1.00428
5wuk_ligand,255,1.00057
5wuk_ligand,256,0.996838
5wuk_ligand,257,0.993105
5wuk_ligand,258,0.989365
5wuk_ligand,259,0.985614
5wuk_ligand,260,0.981858
5wuk_ligand,261,0.978093
5wuk_ligand,262,0.974315
5wuk_ligand,263,0.97053
5wuk_ligand,264,0.966733
5wuk_ligand,265,0.963502
5wuk_ligand,266,0.960263
5wuk_ligand,267,0.95701
5wuk_ligand,268,0.953752
5wuk_ligand,269,0.950481
5wuk_ligand,270,0.947201
5wuk_ligand,271,0.943906
5wuk_ligand,272,0.940604
5wuk_ligand,273,0.937286
5wuk_ligand,274,0.933955
5wuk_ligand,275,0.930608
5wuk_ligand,276,0.92725
5wuk_ligand,277,0.924129
5wuk_ligand,278,0.920993
5wuk_ligand,279,0.917841
5wuk_ligand,280,0.914671
5wuk_ligand,281,0.911494
5wuk_ligand,282,0.908302
5wuk_ligand,283,0.905086
5wuk_ligand,284,0.901853
5wuk_ligand,285,0.898602
5wuk_ligand,286,0.895326
5wuk_ligand,287,0.892027
5wuk_ligand,288,0.888705
5wuk_ligand,289,0.885356
5wuk_ligand,290,0.882183
5wuk_ligand,291,0.878986
5wuk_ligand,292,0.875761
5wuk_ligand,293,0.872509
5wuk_ligand,294,0.869226
5wuk_ligand,295,0.865907
5wuk_ligand,296,0.862569
5wuk_ligand,297,0.859201
5wuk_ligand,298,0.855799
5wuk_ligand,299,0.852358
5wuk_ligand,300,0.848885
