ligand,iteration,standalone_ls_score
5wuk_ligand,1,-10.5758
5wuk_ligand,2,-5.41307
5wuk_ligand,3,-3.36098
5wuk_ligand,4,0.903244
5wuk_ligand,5,-9.91547
5wuk_ligand,6,-10.626
5wuk_ligand,7,-10.496
5wuk_ligand,8,-10.3744
5wuk_ligand,9,-10.5731
5wuk_ligand,10,-10.3882
5wuk_ligand,11,-10.6024
5wuk_ligand,12,-10.4077
5wuk_ligand,13,-10.6284
5wuk_ligand,14,-10.6044
5wuk_ligand,15,-10.4302
5wuk_ligand,16,-10.6039
5wuk_ligand,17,-10.5733
5wuk_ligand,18,-10.478
5wuk_ligand,19,-10.6391
5wuk_ligand,20,-10.5555
5wuk_ligand,21,-10.485
5wuk_ligand,22,-10.6191
5wuk_ligand,23,-10.5886
5wuk_ligand,24,-10.4801
5wuk_ligand,25,-10.6739
5wuk_ligand,26,-10.5255
5wuk_ligand,27,-10.5198
5wuk_ligand,28,-10.6109
5wuk_ligand,29,-10.6385
5wuk_ligand,30,-10.5549
5wuk_ligand,31,-10.5185
5wuk_ligand,32,-10.6553
5wuk_ligand,33,-10.5364
5wuk_ligand,34,-10.4581
5wuk_ligand,35,-10.577
5wuk_ligand,36,-10.6257
5wuk_ligand,37,-10.4649
5wuk_ligand,38,-10.6467
5wuk_ligand,39,-10.4123
5wuk_ligand,40,-10.685
5wuk_ligand,41,-10.5693
5wuk_ligand,42,-10.384
5wuk_ligand,43,-10.4879
5wuk_ligand,44,-10.3505
5wuk_ligand,45,-10.5517
5wuk_ligand,46,-10.5911
5wuk_ligand,47,-10.4296
5wuk_ligand,48,-10.6295
5wuk_ligand,49,-10.357
5wuk_ligand,50,-10.6675
5wuk_ligand,51,-10.4286
5wuk_ligand,52,-10.3807
5wuk_ligand,53,-10.524
5wuk_ligand,54,-10.3769
5wuk_ligand,55,-10.4712
5wuk_ligand,56,-10.28
5wuk_ligand,57,-10.517
5wuk_ligand,58,-10.6787
5wuk_ligand,59,-10.3703
5wuk_ligand,60,-10.6841
5wuk_ligand,61,-10.5357
5wuk_ligand,62,-10.2134
5wuk_ligand,63,-10.4676
5wuk_ligand,64,-10.0998
5wuk_ligand,65,-10.4142
5wuk_ligand,66,-10.6323
5wuk_ligand,67,-10.4639
5wuk_ligand,68,-10.083
5wuk_ligand,69,-10.4989
5wuk_ligand,70,-10.554
5wuk_ligand,71,-10.405
5wuk_ligand,72,-10.4644
5wuk_ligand,73,-9.74175
5wuk_ligand,74,-10.4026
5wuk_ligand,75,-10.4882
5wuk_ligand,76,-10.3307
5wuk_ligand,77,-9.91746
5wuk_ligand,78,-10.2622
5wuk_ligand,79,-10.0589
5wuk_ligand,80,-10.4074
5wuk_ligand,81,-9.74434
5wuk_ligand,82,-10.3862
5wuk_ligand,83,-10.4279
5wuk_ligand,84,-10.3998
5wuk_ligand,85,-10.1918
5wuk_ligand,86,-10.4596
5wuk_ligand,87,-10.549
5wuk_ligand,88,-10.363
5wuk_ligand,89,-10.1574
5wuk_ligand,90,-10.5806
5wuk_ligand,91,-10.2771
5wuk_ligand,92,-10.6615
5wuk_ligand,93,-10.4974
5wuk_ligand,94,-10.4511
5wuk_ligand,95,-10.3502
5wuk_ligand,96,-9.64684
5wuk_ligand,97,-9.60005
5wuk_ligand,98,-9.60361
5wuk_ligand,99,-9.50107
5wuk_ligand,100,-9.27155
5wuk_ligand,101,-6.32574
