ligand,generation,genetic_score
0,0,69808.6
0,1,69694.2
0,2,64292
0,3,6771.8
0,4,5028.78
0,5,3732.01
0,6,2185.52
0,7,1924.64
0,8,1844.98
0,9,562.783
0,10,562.749
0,11,20.78
0,12,20.78
0,13,5.85245
0,14,3.07025
0,15,-4.2504
0,16,-4.3739
0,17,-6.03434
0,18,-6.12794
0,19,-7.30966
0,20,-7.54049
0,21,-10.5546
0,22,-10.6517
0,23,-11.9487
0,24,-12.1303
0,25,-12.9029
0,26,-13.1314
0,27,-13.2035
0,28,-13.3228
0,29,-13.6337
0,30,-13.8743
0,31,-14.8027
0,32,-14.9839
0,33,-15.6077
0,34,-15.7049
0,35,-15.9946
0,36,-16.1025
0,37,-16.1077
0,38,-16.1243
0,39,-16.1314
0,40,-16.14
0,41,-16.1447
0,42,-16.1447
0,43,-16.1555
0,44,-16.1656
0,45,-16.1686
0,46,-16.1693
0,47,-16.1713
0,48,-16.1941
0,49,-16.1951
0,50,-16.1962
0,51,-16.1964
0,52,-16.1964
0,53,-16.1968
0,54,-16.1971
0,55,-16.2007
0,56,-16.2007
0,57,-16.2044
0,58,-16.2051
0,59,-16.2104
0,60,-16.2116
0,61,-16.2117
0,62,-16.2117
0,63,-16.212
0,64,-16.212
0,65,-16.212
0,66,-16.212
0,67,-16.212
0,68,-16.2138
0,69,-16.2129
0,70,-16.2129
0,71,-16.2129
0,72,-16.2129
0,73,-16.2137
0,74,-16.2138
0,75,-16.2138
0,76,-16.2138
0,77,-16.2138
0,78,-16.2138
0,79,-16.2138
0,80,-16.2138
0,81,-16.2138
0,82,-16.2138
0,83,-16.2141
0,84,-16.2141
0,85,-16.2141
0,86,-16.2149
0,87,-16.2149
0,88,-16.2149
0,89,-16.2161
0,90,-16.2168
0,91,-16.2168
0,92,-16.2169
0,93,-16.2169
0,94,-16.2169
0,95,-16.2169
0,96,-16.2169
0,97,-16.2171
0,98,-16.2171
0,99,-16.2171
