ligand,generation,genetic_score
0,0,523369
0,1,207648
0,2,2551.85
0,3,35.5842
0,4,18.8805
0,5,15.6082
0,6,13.8692
0,7,7.02697
0,8,6.4916
0,9,5.94541
0,10,5.56177
0,11,4.9529
0,12,4.9491
0,13,4.70934
0,14,4.16805
0,15,3.9583
0,16,4.02132
0,17,3.54866
0,18,3.38888
0,19,3.39335
0,20,3.27842
0,21,2.62187
0,22,2.45977
0,23,1.73349
0,24,1.58887
0,25,-0.292496
0,26,-0.529911
0,27,-0.740933
0,28,-0.948615
0,29,-1.00787
0,30,-1.00787
0,31,-1.05005
0,32,-1.1057
0,33,-1.15594
0,34,-1.20986
0,35,-1.25056
0,36,-1.26974
0,37,-1.27992
0,38,-1.31496
0,39,-1.31496
0,40,-1.32841
0,41,-1.37996
0,42,-1.38649
0,43,-1.38649
0,44,-1.39059
0,45,-1.39749
0,46,-1.39827
0,47,-1.40249
0,48,-1.40249
0,49,-1.40411
0,50,-1.45521
0,51,-1.40411
0,52,-1.40411
0,53,-1.40623
0,54,-1.40639
0,55,-1.41681
0,56,-1.41839
0,57,-1.41839
0,58,-1.41839
0,59,-1.41925
0,60,-1.42683
0,61,-1.43588
0,62,-1.43588
0,63,-1.43645
0,64,-1.43645
0,65,-1.43645
0,66,-1.43676
0,67,-1.43676
0,68,-1.43676
0,69,-1.46181
0,70,-1.47045
0,71,-1.46181
0,72,-1.46181
0,73,-1.46181
0,74,-1.48336
0,75,-1.46386
0,76,-1.46862
0,77,-1.46862
0,78,-1.46862
0,79,-1.46862
0,80,-1.46869
0,81,-1.46869
0,82,-1.46869
0,83,-1.46869
0,84,-1.46869
0,85,-1.46869
0,86,-1.46869
0,87,-1.46869
0,88,-1.46869
0,89,-1.46869
0,90,-1.46882
0,91,-1.46882
0,92,-1.46889
0,93,-1.47009
0,94,-1.47019
0,95,-1.47147
0,96,-1.47147
0,97,-1.47147
0,98,-1.47147
0,99,-1.47147
