ligand,generation,genetic_score
0,0,81128.5
0,1,12819.6
0,2,1631.34
0,3,1111.77
0,4,875.798
0,5,402.169
0,6,402.169
0,7,291.019
0,8,291.019
0,9,219.323
0,10,215.962
0,11,191.868
0,12,190.133
0,13,157.452
0,14,156.306
0,15,121.36
0,16,121.36
0,17,113.866
0,18,112.795
0,19,107.765
0,20,106.993
0,21,106.579
0,22,106.579
0,23,105.909
0,24,105.909
0,25,105.782
0,26,104.549
0,27,104.549
0,28,104.549
0,29,103.831
0,30,103.463
0,31,102.581
0,32,102.581
0,33,102.581
0,34,101.786
0,35,101.786
0,36,100.943
0,37,100.943
0,38,100.755
0,39,100.832
0,40,100.806
0,41,100.771
0,42,100.643
0,43,100.575
0,44,100.575
0,45,100.377
0,46,100.377
0,47,100.08
0,48,99.9491
0,49,100.063
0,50,100.063
0,51,100.063
0,52,100.058
0,53,99.9909
0,54,99.9909
0,55,99.96
0,56,99.958
0,57,99.9063
0,58,99.9063
0,59,99.9063
0,60,99.9063
0,61,99.9063
0,62,99.9063
0,63,99.5588
0,64,99.5588
0,65,99.5588
0,66,99.5588
0,67,99.5588
0,68,99.5588
0,69,99.4797
0,70,99.4797
0,71,99.4797
0,72,99.4706
0,73,99.4797
0,74,99.4797
0,75,99.4338
0,76,99.4338
0,77,99.4338
0,78,99.4338
0,79,99.4338
0,80,99.4338
0,81,99.3878
0,82,99.4338
0,83,99.4338
0,84,99.4338
0,85,99.4338
0,86,99.4166
0,87,99.4166
0,88,99.4166
0,89,99.4166
0,90,99.4166
0,91,99.4166
0,92,99.4166
0,93,99.4166
0,94,99.4166
0,95,99.4166
0,96,99.4166
0,97,99.4166
0,98,99.4166
0,99,99.4166
