ligand,generation,genetic_score
0,0,20352.3
0,1,1.71309
0,2,1.24264
0,3,-0.310791
0,4,-0.340751
0,5,-2.05613
0,6,-2.93548
0,7,-4.27659
0,8,-4.27659
0,9,-5.51381
0,10,-5.59159
0,11,-6.25034
0,12,-6.40633
0,13,-7.6225
0,14,-7.68623
0,15,-7.90892
0,16,-7.90918
0,17,-8.03149
0,18,-8.04472
0,19,-8.05619
0,20,-8.05629
0,21,-8.06575
0,22,-8.06575
0,23,-8.06575
0,24,-8.06648
0,25,-8.06588
0,26,-8.06588
0,27,-8.06588
0,28,-8.06588
0,29,-8.06848
0,30,-8.06848
0,31,-8.06848
0,32,-8.06848
0,33,-8.06848
0,34,-8.06848
0,35,-8.06869
0,36,-8.06869
0,37,-8.06869
0,38,-8.06869
0,39,-8.07159
0,40,-8.07159
0,41,-8.07159
0,42,-8.07159
0,43,-8.07159
0,44,-8.07159
0,45,-8.07159
0,46,-8.07159
0,47,-8.07159
0,48,-8.07191
0,49,-8.07159
0,50,-8.07159
0,51,-8.07159
0,52,-8.07159
0,53,-8.07159
0,54,-8.07159
0,55,-8.07159
0,56,-8.07159
0,57,-8.07159
0,58,-8.07159
0,59,-8.07159
0,60,-8.07159
0,61,-8.07159
0,62,-8.07159
0,63,-8.07159
0,64,-8.07159
0,65,-8.07159
0,66,-8.07159
0,67,-8.07159
0,68,-8.07159
0,69,-8.07159
0,70,-8.07159
0,71,-8.07159
0,72,-8.07159
0,73,-8.07159
0,74,-8.07159
0,75,-8.07159
0,76,-8.07159
0,77,-8.07159
0,78,-8.07159
0,79,-8.07159
0,80,-8.07159
0,81,-8.07159
0,82,-8.07186
0,83,-8.07159
0,84,-8.07159
0,85,-8.07159
0,86,-8.07207
0,87,-8.07207
0,88,-8.07207
0,89,-8.07207
0,90,-8.07207
0,91,-8.07207
0,92,-8.07207
0,93,-8.07207
0,94,-8.07207
0,95,-8.07207
0,96,-8.07207
0,97,-8.07207
0,98,-8.07207
0,99,-8.07207
