ligand,generation,genetic_score
0,0,0.718921
0,1,-1.3485
0,2,-2.10975
0,3,-2.11908
0,4,-2.27121
0,5,-2.36797
0,6,-2.41153
0,7,-3.22762
0,8,-3.26379
0,9,-3.39227
0,10,-3.42165
0,11,-3.59061
0,12,-3.61346
0,13,-3.88534
0,14,-3.91936
0,15,-4.02845
0,16,-4.03865
0,17,-4.05287
0,18,-4.17431
0,19,-4.43502
0,20,-4.43672
0,21,-4.6142
0,22,-4.62899
0,23,-4.70597
0,24,-4.79023
0,25,-4.77949
0,26,-4.79934
0,27,-4.82013
0,28,-4.82013
0,29,-4.82448
0,30,-4.83474
0,31,-4.84764
0,32,-4.8509
0,33,-4.85483
0,34,-4.85826
0,35,-4.86493
0,36,-4.8677
0,37,-4.86997
0,38,-4.87129
0,39,-4.87412
0,40,-4.87412
0,41,-4.8795
0,42,-4.8795
0,43,-4.88466
0,44,-4.88466
0,45,-4.8876
0,46,-4.88768
0,47,-4.89082
0,48,-4.8909
0,49,-4.89548
0,50,-4.89548
0,51,-4.90242
0,52,-4.90247
0,53,-4.90328
0,54,-4.90331
0,55,-4.90333
0,56,-4.90334
0,57,-4.9034
0,58,-4.9034
0,59,-4.9034
0,60,-4.9034
0,61,-4.97923
0,62,-4.97923
0,63,-5.9681
0,64,-6.10798
0,65,-6.28297
0,66,-6.28321
0,67,-6.37162
0,68,-6.4185
0,69,-6.4963
0,70,-6.52485
0,71,-6.58532
0,72,-6.59011
0,73,-6.60834
0,74,-6.61621
0,75,-6.62499
0,76,-6.62815
0,77,-6.63383
0,78,-6.64229
0,79,-6.64828
0,80,-6.64878
0,81,-6.65128
0,82,-6.65463
0,83,-6.66263
0,84,-6.66276
0,85,-6.6636
0,86,-6.6636
0,87,-6.6636
0,88,-6.6636
0,89,-6.66424
0,90,-6.66432
0,91,-6.66435
0,92,-6.6644
0,93,-6.66435
0,94,-6.66435
0,95,-6.66435
0,96,-6.66435
0,97,-6.66435
0,98,-6.66435
0,99,-6.66435
