ligand,generation,genetic_score
0,0,10559.9
0,1,5354.57
0,2,315.599
0,3,21.7973
0,4,-1.2983
0,5,-2.11951
0,6,-2.2794
0,7,-2.83415
0,8,-3.0053
0,9,-3.14468
0,10,-3.30775
0,11,-3.43338
0,12,-3.59171
0,13,-3.72289
0,14,-3.80191
0,15,-3.95975
0,16,-4.17869
0,17,-4.17869
0,18,-4.17869
0,19,-4.18692
0,20,-4.18692
0,21,-4.18692
0,22,-4.18692
0,23,-4.18735
0,24,-4.18735
0,25,-4.20951
0,26,-4.20951
0,27,-4.20951
0,28,-4.20976
0,29,-4.24551
0,30,-4.25186
0,31,-4.25299
0,32,-4.25186
0,33,-4.28501
0,34,-4.29247
0,35,-4.28501
0,36,-4.2924
0,37,-4.32729
0,38,-4.32908
0,39,-4.32908
0,40,-4.32908
0,41,-4.36816
0,42,-4.37217
0,43,-4.39017
0,44,-4.39017
0,45,-4.39081
0,46,-4.39089
0,47,-4.41848
0,48,-4.41848
0,49,-4.43069
0,50,-4.43153
0,51,-4.43733
0,52,-4.44177
0,53,-4.44446
0,54,-4.44446
0,55,-4.44446
0,56,-4.44446
0,57,-4.44446
0,58,-4.44446
0,59,-4.44446
0,60,-4.44446
0,61,-4.44446
0,62,-4.44446
0,63,-4.44552
0,64,-4.44552
0,65,-4.44572
0,66,-4.44572
0,67,-4.44681
0,68,-4.44572
0,69,-4.44802
0,70,-4.44802
0,71,-4.44802
0,72,-4.44802
0,73,-4.44807
0,74,-4.44807
0,75,-4.45038
0,76,-4.45433
0,77,-4.45577
0,78,-4.45617
0,79,-4.45617
0,80,-4.45617
0,81,-4.4568
0,82,-4.4568
0,83,-4.46394
0,84,-4.46394
0,85,-4.46394
0,86,-4.46394
0,87,-4.46519
0,88,-4.46519
0,89,-4.46519
0,90,-4.46519
0,91,-4.46519
0,92,-4.46519
0,93,-4.46519
0,94,-4.46519
0,95,-4.46519
0,96,-4.46519
0,97,-4.46519
0,98,-4.46519
0,99,-4.46519
