ligand,generation,genetic_score
0,0,33083.7
0,1,83.06
0,2,0.534531
0,3,-0.459667
0,4,-2.21107
0,5,-2.21107
0,6,-2.32531
0,7,-2.32531
0,8,-2.51636
0,9,-2.56023
0,10,-2.60786
0,11,-2.66148
0,12,-2.66148
0,13,-2.66153
0,14,-2.69056
0,15,-2.76036
0,16,-2.87713
0,17,-2.87713
0,18,-2.87713
0,19,-2.87713
0,20,-2.88908
0,21,-2.9047
0,22,-2.9056
0,23,-2.9056
0,24,-2.91827
0,25,-2.92656
0,26,-2.92656
0,27,-3.01709
0,28,-3.01709
0,29,-3.01709
0,30,-3.01709
0,31,-3.04361
0,32,-3.03479
0,33,-3.03479
0,34,-3.03479
0,35,-3.03479
0,36,-3.07741
0,37,-3.07741
0,38,-3.07741
0,39,-3.07741
0,40,-3.12755
0,41,-3.12755
0,42,-3.12755
0,43,-3.12755
0,44,-3.12755
0,45,-3.12755
0,46,-3.12755
0,47,-3.12755
0,48,-3.12755
0,49,-3.12755
0,50,-3.12755
0,51,-3.12755
0,52,-3.12755
0,53,-3.13327
0,54,-3.13327
0,55,-3.13327
0,56,-3.13327
0,57,-3.13327
0,58,-3.13327
0,59,-3.13808
0,60,-3.13808
0,61,-3.13813
0,62,-3.13813
0,63,-3.13813
0,64,-3.13813
0,65,-3.13813
0,66,-3.13813
0,67,-3.13813
0,68,-3.13813
0,69,-3.13813
0,70,-3.13813
0,71,-3.13813
0,72,-3.14417
0,73,-3.14417
0,74,-3.14417
0,75,-3.14417
0,76,-3.15059
0,77,-3.15059
0,78,-3.15059
0,79,-3.15059
0,80,-3.15059
0,81,-3.15584
0,82,-3.15584
0,83,-3.17431
0,84,-3.17431
0,85,-3.17431
0,86,-3.17628
0,87,-3.17628
0,88,-3.17628
0,89,-3.17628
0,90,-3.17628
0,91,-3.17628
0,92,-3.17628
0,93,-3.17765
0,94,-3.17765
0,95,-3.17765
0,96,-3.17765
0,97,-3.17765
0,98,-3.21025
0,99,-3.21025
