ligand,generation,genetic_score
0,0,131824
0,1,46762.8
0,2,42583
0,3,2175.13
0,4,2059.19
0,5,1835.49
0,6,1832.72
0,7,1768.36
0,8,1768.36
0,9,1748.97
0,10,1747.82
0,11,1747.17
0,12,1740.01
0,13,1727.63
0,14,1727.63
0,15,1715.71
0,16,1715.27
0,17,1702.67
0,18,1696.25
0,19,1683.44
0,20,1678.5
0,21,1656.17
0,22,1656.17
0,23,1656.17
0,24,1655.7
0,25,1644
0,26,1644
0,27,1642.44
0,28,1641.46
0,29,1628.23
0,30,1628.23
0,31,1625.38
0,32,1622.26
0,33,1619.61
0,34,1617.66
0,35,1612.17
0,36,1610.63
0,37,1604.61
0,38,1604.29
0,39,1602.64
0,40,1602.05
0,41,1600.75
0,42,1597.9
0,43,1597.03
0,44,1594.48
0,45,1593.9
0,46,1590.11
0,47,1589.89
0,48,1588.71
0,49,1587.68
0,50,1585.1
0,51,1583.22
0,52,1582.62
0,53,1556.5
0,54,1556.38
0,55,1554.61
0,56,1553.77
0,57,1553.15
0,58,1552.68
0,59,1551.92
0,60,1551.92
0,61,1546.7
0,62,1545.58
0,63,1544.56
0,64,1544.56
0,65,1544.22
0,66,1543.86
0,67,1543.49
0,68,1543.09
0,69,1540.35
0,70,1540.31
0,71,1540
0,72,1537.79
0,73,1537.1
0,74,1536.7
0,75,1536.13
0,76,1536.13
0,77,1536.13
0,78,1536.13
0,79,1535.39
0,80,1535.39
0,81,1535.29
0,82,1535.29
0,83,1535.25
0,84,1534.9
0,85,1534.9
0,86,1534.86
0,87,1534.62
0,88,1534.62
0,89,1534.62
0,90,1534.62
0,91,1534.62
0,92,1534.62
0,93,1534.37
0,94,1534.23
0,95,1534.11
0,96,1534.11
0,97,1533.95
0,98,1533.95
0,99,1533.83
