ligand,generation,genetic_score
0,0,69808.6
0,1,69694.2
0,2,64879.7
0,3,660.525
0,4,559.424
0,5,481.66
0,6,354.688
0,7,318.127
0,8,311.424
0,9,-10.0449
0,10,-10.0449
0,11,-13.7209
0,12,-13.7563
0,13,-14.376
0,14,-14.4283
0,15,-14.4536
0,16,-14.8639
0,17,-15.954
0,18,-15.954
0,19,-16.0574
0,20,-16.0574
0,21,-16.0706
0,22,-16.0807
0,23,-16.0811
0,24,-16.0936
0,25,-16.1182
0,26,-16.131
0,27,-16.1366
0,28,-16.1631
0,29,-16.1775
0,30,-16.1775
0,31,-16.1901
0,32,-16.1901
0,33,-16.2029
0,34,-16.2099
0,35,-16.2101
0,36,-16.2101
0,37,-16.2132
0,38,-16.2132
0,39,-16.2134
0,40,-16.2134
0,41,-16.2137
0,42,-16.2137
0,43,-16.2139
0,44,-16.2139
0,45,-16.2139
0,46,-16.2139
0,47,-16.2214
0,48,-16.2214
0,49,-16.2214
0,50,-16.2214
0,51,-16.2214
0,52,-16.2214
0,53,-16.2214
0,54,-16.2214
0,55,-16.2214
0,56,-16.2214
0,57,-16.2214
0,58,-16.2214
0,59,-16.2405
0,60,-16.2405
0,61,-16.2405
0,62,-16.2405
0,63,-16.2405
0,64,-16.2405
0,65,-16.2405
0,66,-16.2416
0,67,-16.2416
0,68,-16.2416
0,69,-16.2416
0,70,-16.2416
0,71,-16.2416
0,72,-16.2416
0,73,-16.2426
0,74,-16.2426
0,75,-16.2426
0,76,-16.243
0,77,-16.243
0,78,-16.243
0,79,-16.243
0,80,-16.243
0,81,-16.243
0,82,-16.243
0,83,-16.2441
0,84,-16.2443
0,85,-16.2443
0,86,-16.2443
0,87,-16.2443
0,88,-16.2482
0,89,-16.2482
0,90,-16.2482
0,91,-16.2525
0,92,-16.2525
0,93,-16.2525
0,94,-16.2525
0,95,-16.2526
0,96,-16.2526
0,97,-16.2526
0,98,-16.2526
0,99,-16.2526
