ligand,generation,genetic_score
0,0,523369
0,1,8749.12
0,2,909.92
0,3,16.3656
0,4,11.9741
0,5,11.1988
0,6,11.1973
0,7,10.628
0,8,10.5876
0,9,6.12418
0,10,5.84464
0,11,5.22218
0,12,5.20998
0,13,5.13504
0,14,4.84661
0,15,4.7711
0,16,4.73332
0,17,4.22865
0,18,3.51347
0,19,3.0574
0,20,3.0574
0,21,2.72446
0,22,2.72446
0,23,2.94473
0,24,2.56252
0,25,2.01487
0,26,2.01487
0,27,1.73352
0,28,1.32559
0,29,0.655806
0,30,0.605871
0,31,0.605642
0,32,0.600082
0,33,0.41083
0,34,0.229224
0,35,0.416924
0,36,0.313715
0,37,0.129509
0,38,0.104178
0,39,0.0918813
0,40,0.090055
0,41,0.0819597
0,42,0.0736303
0,43,0.0435801
0,44,0.0144935
0,45,-0.0586896
0,46,-0.133833
0,47,-0.133833
0,48,-0.160172
0,49,-0.474223
0,50,-1.42996
0,51,-1.93476
0,52,-2.00322
0,53,-2.00322
0,54,-2.00322
0,55,-2.11027
0,56,-2.11027
0,57,-2.11027
0,58,-2.11027
0,59,-2.17204
0,60,-2.17204
0,61,-2.51937
0,62,-2.72195
0,63,-2.72195
0,64,-2.77512
0,65,-2.77768
0,66,-2.77768
0,67,-2.96185
0,68,-2.96185
0,69,-2.96372
0,70,-2.96372
0,71,-2.96372
0,72,-3.05841
0,73,-3.05841
0,74,-3.05841
0,75,-3.10332
0,76,-3.10726
0,77,-3.10726
0,78,-3.11295
0,79,-3.11786
0,80,-3.11786
0,81,-3.11996
0,82,-3.11996
0,83,-3.11996
0,84,-3.12117
0,85,-3.12117
0,86,-3.12117
0,87,-3.15229
0,88,-3.15229
0,89,-3.18054
0,90,-3.18622
0,91,-3.18622
0,92,-3.19573
0,93,-3.19573
0,94,-3.19672
0,95,-3.19672
0,96,-3.21159
0,97,-3.21258
0,98,-3.22748
0,99,-3.21258
