ligand,generation,genetic_score
0,0,81128.5
0,1,1462.83
0,2,1462.83
0,3,5.14348
0,4,4.37861
0,5,-6.06303
0,6,-6.09665
0,7,-7.73087
0,8,-7.73292
0,9,-7.73553
0,10,-7.79208
0,11,-7.73777
0,12,-7.73852
0,13,-7.73852
0,14,-7.73852
0,15,-7.73852
0,16,-7.83395
0,17,-7.8468
0,18,-7.83395
0,19,-7.8478
0,20,-7.85583
0,21,-7.86365
0,22,-7.86398
0,23,-7.86398
0,24,-7.87578
0,25,-7.86398
0,26,-7.86398
0,27,-7.87638
0,28,-7.87638
0,29,-7.8781
0,30,-7.8781
0,31,-7.8781
0,32,-7.87953
0,33,-7.88052
0,34,-7.88052
0,35,-7.88052
0,36,-7.88052
0,37,-7.88052
0,38,-7.88052
0,39,-7.88052
0,40,-7.88052
0,41,-7.88052
0,42,-7.89555
0,43,-7.88052
0,44,-7.88052
0,45,-7.88052
0,46,-7.88052
0,47,-7.90107
0,48,-7.90107
0,49,-7.90107
0,50,-7.90107
0,51,-7.91669
0,52,-7.91669
0,53,-7.90107
0,54,-7.90107
0,55,-7.90107
0,56,-7.90107
0,57,-7.90267
0,58,-7.90267
0,59,-7.90347
0,60,-7.91023
0,61,-7.90267
0,62,-7.90267
0,63,-7.90267
0,64,-7.90267
0,65,-7.90267
0,66,-7.90267
0,67,-7.90342
0,68,-7.93763
0,69,-7.90342
0,70,-7.90342
0,71,-7.91661
0,72,-7.91661
0,73,-7.91904
0,74,-7.92398
0,75,-7.91904
0,76,-7.9228
0,77,-7.92014
0,78,-7.92212
0,79,-7.92018
0,80,-7.92018
0,81,-7.92018
0,82,-7.92078
0,83,-7.92101
0,84,-7.92954
0,85,-7.92101
0,86,-7.92101
0,87,-7.92101
0,88,-7.92101
0,89,-7.92101
0,90,-7.92101
0,91,-7.92101
0,92,-7.92101
0,93,-7.92101
0,94,-7.92102
0,95,-7.92101
0,96,-7.92102
0,97,-7.92101
0,98,-7.92101
0,99,-7.92101
