ligand,generation,genetic_score
0,0,20352.3
0,1,6.42167
0,2,6.42145
0,3,2.8769
0,4,-0.966038
0,5,-1.01536
0,6,-1.51258
0,7,-1.75595
0,8,-1.97787
0,9,-2.43706
0,10,-2.43706
0,11,-5.81081
0,12,-5.81081
0,13,-5.81081
0,14,-5.83639
0,15,-6.17279
0,16,-6.17279
0,17,-6.29863
0,18,-6.29863
0,19,-6.29863
0,20,-6.29863
0,21,-6.30185
0,22,-6.30185
0,23,-6.30438
0,24,-6.30727
0,25,-6.3222
0,26,-6.3222
0,27,-6.3281
0,28,-6.33525
0,29,-6.48226
0,30,-6.48835
0,31,-6.48835
0,32,-6.48835
0,33,-6.48835
0,34,-6.49299
0,35,-6.49299
0,36,-6.49373
0,37,-6.4946
0,38,-6.4946
0,39,-6.4946
0,40,-6.4946
0,41,-6.4946
0,42,-6.4975
0,43,-6.6407
0,44,-6.6407
0,45,-6.66215
0,46,-6.6622
0,47,-6.68043
0,48,-6.68045
0,49,-6.68184
0,50,-6.68184
0,51,-6.68184
0,52,-6.68184
0,53,-6.68316
0,54,-6.68316
0,55,-6.68672
0,56,-6.68726
0,57,-6.6875
0,58,-6.6875
0,59,-6.6875
0,60,-6.6875
0,61,-6.6875
0,62,-6.6875
0,63,-6.6875
0,64,-6.68864
0,65,-6.68864
0,66,-6.68864
0,67,-6.68911
0,68,-6.68926
0,69,-6.68939
0,70,-6.68939
0,71,-6.68939
0,72,-6.68939
0,73,-6.68939
0,74,-6.68939
0,75,-6.68939
0,76,-6.68939
0,77,-6.68939
0,78,-6.68939
0,79,-6.68939
0,80,-6.68939
0,81,-6.68939
0,82,-6.68939
0,83,-6.68939
0,84,-6.69898
0,85,-6.69898
0,86,-6.69898
0,87,-6.70614
0,88,-6.70614
0,89,-6.70614
0,90,-6.70831
0,91,-6.70831
0,92,-6.70831
0,93,-6.70831
0,94,-6.71124
0,95,-6.71124
0,96,-6.71124
0,97,-6.71124
0,98,-6.71124
0,99,-6.71164
