ligand,generation,genetic_score
0,0,0.718921
0,1,-3.20968
0,2,-3.20968
0,3,-3.20968
0,4,-3.20968
0,5,-3.31768
0,6,-3.31768
0,7,-3.31768
0,8,-3.32925
0,9,-3.3496
0,10,-3.3987
0,11,-3.40552
0,12,-3.40552
0,13,-3.44195
0,14,-3.44195
0,15,-3.44767
0,16,-3.44767
0,17,-3.44767
0,18,-3.44767
0,19,-3.44769
0,20,-3.44769
0,21,-3.44769
0,22,-3.44769
0,23,-3.48816
0,24,-3.48816
0,25,-3.48816
0,26,-3.51595
0,27,-3.51595
0,28,-3.51595
0,29,-3.51595
0,30,-3.53619
0,31,-3.53619
0,32,-3.60662
0,33,-3.62279
0,34,-3.62279
0,35,-3.62279
0,36,-3.62279
0,37,-3.62279
0,38,-3.62279
0,39,-3.62279
0,40,-3.67232
0,41,-3.70583
0,42,-3.73256
0,43,-3.73256
0,44,-3.73256
0,45,-3.73256
0,46,-3.73256
0,47,-3.73256
0,48,-3.73256
0,49,-3.73256
0,50,-3.73256
0,51,-3.73256
0,52,-3.73483
0,53,-3.73494
0,54,-3.73965
0,55,-3.73965
0,56,-3.74024
0,57,-3.74024
0,58,-3.74587
0,59,-3.74587
0,60,-3.76161
0,61,-3.76229
0,62,-3.76229
0,63,-3.76229
0,64,-3.76229
0,65,-3.76229
0,66,-3.76229
0,67,-3.76229
0,68,-3.76229
0,69,-3.76229
0,70,-3.76229
0,71,-3.76229
0,72,-3.76229
0,73,-3.76229
0,74,-3.76229
0,75,-3.76229
0,76,-3.76229
0,77,-3.76229
0,78,-3.76229
0,79,-3.76229
0,80,-3.76229
0,81,-3.76229
0,82,-3.76229
0,83,-3.76229
0,84,-3.76848
0,85,-3.76848
0,86,-3.76848
0,87,-3.76848
0,88,-3.76848
0,89,-3.76848
0,90,-3.76848
0,91,-3.76853
0,92,-3.76853
0,93,-3.77956
0,94,-3.77956
0,95,-3.77956
0,96,-3.77956
0,97,-3.77956
0,98,-3.77956
0,99,-3.79754
