ligand,generation,genetic_score
0,0,10559.9
0,1,6175.15
0,2,4410.5
0,3,22.9289
0,4,5.59025
0,5,5.34092
0,6,3.59021
0,7,-2.26361
0,8,-2.26361
0,9,-2.26361
0,10,-2.26361
0,11,-2.31905
0,12,-2.33196
0,13,-2.33276
0,14,-2.45628
0,15,-3.15394
0,16,-3.15394
0,17,-3.18575
0,18,-3.18767
0,19,-3.20878
0,20,-3.21568
0,21,-3.23536
0,22,-3.23536
0,23,-3.24226
0,24,-3.24226
0,25,-3.24321
0,26,-3.24379
0,27,-3.24457
0,28,-3.2771
0,29,-3.2771
0,30,-3.2771
0,31,-3.2771
0,32,-3.2771
0,33,-3.2771
0,34,-3.28016
0,35,-3.2945
0,36,-3.2945
0,37,-3.29601
0,38,-3.29601
0,39,-3.29601
0,40,-3.29601
0,41,-3.29601
0,42,-3.29601
0,43,-3.29601
0,44,-3.29939
0,45,-3.29939
0,46,-3.29939
0,47,-3.48491
0,48,-3.48491
0,49,-3.48491
0,50,-3.50046
0,51,-3.50046
0,52,-3.50202
0,53,-3.50178
0,54,-3.50178
0,55,-3.50178
0,56,-3.50178
0,57,-3.50178
0,58,-3.50764
0,59,-3.50808
0,60,-3.50808
0,61,-3.50808
0,62,-3.50808
0,63,-3.53779
0,64,-3.53779
0,65,-3.53779
0,66,-3.53779
0,67,-3.53779
0,68,-3.53779
0,69,-3.54005
0,70,-3.54005
0,71,-3.54005
0,72,-3.5444
0,73,-3.54005
0,74,-3.54005
0,75,-3.54005
0,76,-3.54005
0,77,-3.54005
0,78,-3.54005
0,79,-3.54005
0,80,-3.54005
0,81,-3.54005
0,82,-3.54005
0,83,-3.54071
0,84,-3.54071
0,85,-3.54071
0,86,-3.54092
0,87,-3.54092
0,88,-3.54092
0,89,-3.54098
0,90,-3.54098
0,91,-3.54098
0,92,-3.54098
0,93,-3.54098
0,94,-3.54098
0,95,-3.54098
0,96,-3.54098
0,97,-3.54098
0,98,-3.54098
0,99,-3.54098
