ligand,generation,genetic_score
0,0,33083.7
0,1,-1.57105
0,2,-1.57105
0,3,-1.37716
0,4,-1.37716
0,5,-1.06477
0,6,-1.06519
0,7,-1.06234
0,8,-1.13919
0,9,-1.82472
0,10,-1.87128
0,11,-2.14057
0,12,-2.18305
0,13,-2.04177
0,14,-2.0606
0,15,-2.04248
0,16,-2.06009
0,17,-2.01297
0,18,-2.01913
0,19,-2.00066
0,20,-2.00868
0,21,-1.99189
0,22,-2.02615
0,23,-1.98593
0,24,-2.00413
0,25,-2.00392
0,26,-2.01962
0,27,-1.96423
0,28,-1.97498
0,29,-2.01821
0,30,-2.02009
0,31,-2.01829
0,32,-2.02128
0,33,-2.01421
0,34,-2.02138
0,35,-2.00408
0,36,-2.01301
0,37,-2.02319
0,38,-2.02827
0,39,-2.01103
0,40,-2.02187
0,41,-2.01674
0,42,-2.01674
0,43,-1.98431
0,44,-2.00145
0,45,-2.00567
0,46,-2.02542
0,47,-2.0092
0,48,-2.0159
0,49,-1.98598
0,50,-1.9866
0,51,-1.97291
0,52,-2.00107
0,53,-2.00062
0,54,-2.02537
0,55,-2.01177
0,56,-2.02903
0,57,-1.98131
0,58,-1.98648
0,59,-2.00916
0,60,-2.01688
0,61,-2.00131
0,62,-2.00192
0,63,-2.00408
0,64,-2.01104
0,65,-2.00613
0,66,-2.01215
0,67,-1.98339
0,68,-2.00867
0,69,-2.01112
0,70,-2.01404
0,71,-1.97159
0,72,-2.01368
0,73,-2.01542
0,74,-2.01803
0,75,-2.02166
0,76,-2.02861
0,77,-1.99688
0,78,-2.0003
0,79,-1.98654
0,80,-2.01062
0,81,-1.98712
0,82,-2.00476
0,83,-2.00834
0,84,-2.01289
0,85,-2.01203
0,86,-2.01701
0,87,-1.9867
0,88,-1.99412
0,89,-1.99481
0,90,-2.0056
0,91,-2.00871
0,92,-2.02156
0,93,-2.00761
0,94,-2.00715
0,95,-1.99483
0,96,-2.0201
0,97,-1.98428
0,98,-2.01415
0,99,-2.02024
