ligand,generation,genetic_score
0,0,131824
0,1,65503.1
0,2,58664.3
0,3,54303
0,4,16413.1
0,5,16413.1
0,6,9395.87
0,7,9395.87
0,8,4707.83
0,9,4707.83
0,10,4707.83
0,11,4282.3
0,12,3241.32
0,13,2948.54
0,14,2799.26
0,15,2799.26
0,16,2796.15
0,17,2797.21
0,18,2690.24
0,19,2668.5
0,20,2668.17
0,21,2665.68
0,22,2630.53
0,23,2628.21
0,24,2628.21
0,25,2628.21
0,26,2628.21
0,27,2207.11
0,28,2207.11
0,29,2207.11
0,30,2207.11
0,31,2206.14
0,32,2206.14
0,33,2206.14
0,34,2206.14
0,35,2206.14
0,36,2205.91
0,37,2205.91
0,38,2205.91
0,39,2205.91
0,40,2205.91
0,41,2205.91
0,42,2144.88
0,43,2144.88
0,44,2144.88
0,45,2144.88
0,46,2144.88
0,47,2144.88
0,48,2144.88
0,49,2144.65
0,50,2144.65
0,51,2144.65
0,52,1815.18
0,53,1815.18
0,54,1815.18
0,55,1815.18
0,56,1815.18
0,57,1814.98
0,58,1814.98
0,59,1812.79
0,60,1812.79
0,61,1806.57
0,62,1806.57
0,63,1733.33
0,64,1733.33
0,65,1722.47
0,66,1720.17
0,67,1720.17
0,68,1720.17
0,69,1720.17
0,70,1718.31
0,71,1718.31
0,72,1718.31
0,73,1715.19
0,74,1700.59
0,75,1697.99
0,76,1686.01
0,77,1684.31
0,78,1683.62
0,79,1683.62
0,80,1681.91
0,81,1681.91
0,82,1681.91
0,83,1681.91
0,84,1681.91
0,85,1681.91
0,86,1681.91
0,87,1674.51
0,88,1674.51
0,89,1674.51
0,90,1674.51
0,91,1674.51
0,92,1674.51
0,93,1674.51
0,94,1674.51
0,95,1674.51
0,96,1674.51
0,97,1674.51
0,98,1674.51
0,99,1674.51
