ligand,iteration,standalone_ls_score
1hii_ligand,0,1.32493e+06
1hii_ligand,1,1.10863e+06
1hii_ligand,2,1.09775e+06
1hii_ligand,3,1.11781e+06
1hii_ligand,4,1.09177e+06
1hii_ligand,5,1.07194e+06
1hii_ligand,6,1.05142e+06
1hii_ligand,7,1.07206e+06
1hii_ligand,8,1.01397e+06
1hii_ligand,9,1.04029e+06
1hii_ligand,10,1.03679e+06
1hii_ligand,11,1.01484e+06
1hii_ligand,12,957081
1hii_ligand,13,970835
1hii_ligand,14,928353
1hii_ligand,15,953237
1hii_ligand,16,962468
1hii_ligand,17,928089
1hii_ligand,18,941450
1hii_ligand,19,952537
1hii_ligand,20,870211
1hii_ligand,21,1.00614e+06
1hii_ligand,22,986128
1hii_ligand,23,873583
1hii_ligand,24,1.02602e+06
1hii_ligand,25,832956
1hii_ligand,26,936213
1hii_ligand,27,874127
1hii_ligand,28,908765
1hii_ligand,29,903952
1hii_ligand,30,858230
1hii_ligand,31,607830
1hii_ligand,32,620946
1hii_ligand,33,667885
1hii_ligand,34,585767
1hii_ligand,35,575748
1hii_ligand,36,588462
1hii_ligand,37,626618
1hii_ligand,38,547599
1hii_ligand,39,606976
1hii_ligand,40,573483
1hii_ligand,41,658567
1hii_ligand,42,531438
1hii_ligand,43,566235
1hii_ligand,44,516532
1hii_ligand,45,606166
1hii_ligand,46,539767
1hii_ligand,47,648507
1hii_ligand,48,540625
1hii_ligand,49,620944
1hii_ligand,50,553080
1hii_ligand,51,606604
1hii_ligand,52,546133
1hii_ligand,53,579127
1hii_ligand,54,527638
1hii_ligand,55,526056
1hii_ligand,56,496293
1hii_ligand,57,590880
1hii_ligand,58,487968
1hii_ligand,59,585334
1hii_ligand,60,557313
1hii_ligand,61,650414
1hii_ligand,62,553004
1hii_ligand,63,594043
1hii_ligand,64,569512
1hii_ligand,65,511620
1hii_ligand,66,453157
1hii_ligand,67,572668
1hii_ligand,68,488794
1hii_ligand,69,628123
1hii_ligand,70,555393
1hii_ligand,71,629331
1hii_ligand,72,631588
1hii_ligand,73,531385
1hii_ligand,74,517995
1hii_ligand,75,536568
1hii_ligand,76,528047
1hii_ligand,77,585931
1hii_ligand,78,548089
1hii_ligand,79,583295
1hii_ligand,80,601142
1hii_ligand,81,542541
1hii_ligand,82,570300
1hii_ligand,83,598030
1hii_ligand,84,593224
1hii_ligand,85,614042
1hii_ligand,86,525826
1hii_ligand,87,551147
1hii_ligand,88,560861
1hii_ligand,89,501850
1hii_ligand,90,602820
1hii_ligand,91,578742
1hii_ligand,92,491227
1hii_ligand,93,613130
1hii_ligand,94,609636
1hii_ligand,95,561877
1hii_ligand,96,548674
1hii_ligand,97,492931
1hii_ligand,98,492565
1hii_ligand,99,624268
1hii_ligand,100,526528
1hii_ligand,101,584230
1hii_ligand,102,618508
1hii_ligand,103,534884
1hii_ligand,104,560332
1hii_ligand,105,628774
1hii_ligand,106,613563
1hii_ligand,107,589340
1hii_ligand,108,627370
1hii_ligand,109,519511
1hii_ligand,110,515043
1hii_ligand,111,566153
1hii_ligand,112,600761
1hii_ligand,113,572613
1hii_ligand,114,591639
1hii_ligand,115,655332
1hii_ligand,116,638962
1hii_ligand,117,482285
1hii_ligand,118,464842
1hii_ligand,119,427952
1hii_ligand,120,484713
1hii_ligand,121,573380
1hii_ligand,122,555630
1hii_ligand,123,648945
1hii_ligand,124,471042
1hii_ligand,125,603499
1hii_ligand,126,594810
1hii_ligand,127,552086
1hii_ligand,128,644333
1hii_ligand,129,617038
1hii_ligand,130,478076
1hii_ligand,131,499704
1hii_ligand,132,503505
1hii_ligand,133,603925
1hii_ligand,134,526259
1hii_ligand,135,652909
1hii_ligand,136,443810
1hii_ligand,137,518656
1hii_ligand,138,592370
1hii_ligand,139,624568
1hii_ligand,140,462027
1hii_ligand,141,543127
1hii_ligand,142,503082
1hii_ligand,143,454235
1hii_ligand,144,520872
1hii_ligand,145,478282
1hii_ligand,146,463702
1hii_ligand,147,453570
1hii_ligand,148,484238
1hii_ligand,149,549117
1hii_ligand,150,540543
1hii_ligand,151,542593
1hii_ligand,152,484847
1hii_ligand,153,398510
1hii_ligand,154,440158
1hii_ligand,155,487558
1hii_ligand,156,550622
1hii_ligand,157,506906
1hii_ligand,158,450606
1hii_ligand,159,433928
1hii_ligand,160,522301
1hii_ligand,161,525867
1hii_ligand,162,516930
1hii_ligand,163,433040
1hii_ligand,164,465834
1hii_ligand,165,535408
1hii_ligand,166,507184
1hii_ligand,167,468619
1hii_ligand,168,424839
1hii_ligand,169,638860
1hii_ligand,170,600605
1hii_ligand,171,501736
1hii_ligand,172,462838
1hii_ligand,173,477010
1hii_ligand,174,510842
1hii_ligand,175,444666
1hii_ligand,176,541399
1hii_ligand,177,566915
1hii_ligand,178,585878
1hii_ligand,179,489981
1hii_ligand,180,430874
1hii_ligand,181,424175
1hii_ligand,182,446932
1hii_ligand,183,542734
1hii_ligand,184,547859
1hii_ligand,185,525376
1hii_ligand,186,447344
1hii_ligand,187,391533
1hii_ligand,188,467260
1hii_ligand,189,445659
1hii_ligand,190,508931
1hii_ligand,191,517668
1hii_ligand,192,494635
1hii_ligand,193,382222
1hii_ligand,194,428470
1hii_ligand,195,515877
1hii_ligand,196,448816
1hii_ligand,197,441582
1hii_ligand,198,434854
1hii_ligand,199,574915
1hii_ligand,200,514868
1hii_ligand,201,447257
1hii_ligand,202,399786
1hii_ligand,203,477274
1hii_ligand,204,484825
1hii_ligand,205,511846
1hii_ligand,206,452105
1hii_ligand,207,490127
1hii_ligand,208,510768
1hii_ligand,209,496096
1hii_ligand,210,436833
1hii_ligand,211,477117
1hii_ligand,212,490736
1hii_ligand,213,451353
1hii_ligand,214,565655
1hii_ligand,215,426547
1hii_ligand,216,541436
1hii_ligand,217,472809
1hii_ligand,218,416187
1hii_ligand,219,393226
1hii_ligand,220,424326
1hii_ligand,221,449112
1hii_ligand,222,477420
1hii_ligand,223,465121
1hii_ligand,224,546026
1hii_ligand,225,520631
1hii_ligand,226,405276
1hii_ligand,227,426385
1hii_ligand,228,522859
1hii_ligand,229,467480
1hii_ligand,230,545102
1hii_ligand,231,471073
1hii_ligand,232,469751
1hii_ligand,233,509087
1hii_ligand,234,516356
1hii_ligand,235,471025
1hii_ligand,236,480843
1hii_ligand,237,481841
1hii_ligand,238,502558
1hii_ligand,239,481674
1hii_ligand,240,521000
1hii_ligand,241,431287
1hii_ligand,242,478108
1hii_ligand,243,514518
1hii_ligand,244,453960
1hii_ligand,245,501539
1hii_ligand,246,484475
1hii_ligand,247,748598
1hii_ligand,248,524199
1hii_ligand,249,412427
1hii_ligand,250,380163
1hii_ligand,251,443242
1hii_ligand,252,430830
1hii_ligand,253,547282
1hii_ligand,254,450088
1hii_ligand,255,439792
1hii_ligand,256,460749
1hii_ligand,257,442086
1hii_ligand,258,468828
1hii_ligand,259,528069
1hii_ligand,260,498570
1hii_ligand,261,517106
1hii_ligand,262,427632
1hii_ligand,263,476996
1hii_ligand,264,440441
1hii_ligand,265,501626
1hii_ligand,266,489952
1hii_ligand,267,503532
1hii_ligand,268,510444
1hii_ligand,269,503098
1hii_ligand,270,390364
1hii_ligand,271,383076
1hii_ligand,272,442814
1hii_ligand,273,446575
1hii_ligand,274,650544
1hii_ligand,275,555324
1hii_ligand,276,505434
1hii_ligand,277,444443
1hii_ligand,278,450197
1hii_ligand,279,467044
1hii_ligand,280,520053
1hii_ligand,281,572489
1hii_ligand,282,415586
1hii_ligand,283,407385
1hii_ligand,284,464527
1hii_ligand,285,483197
1hii_ligand,286,500084
1hii_ligand,287,409082
1hii_ligand,288,505546
1hii_ligand,289,462882
1hii_ligand,290,510591
1hii_ligand,291,428440
1hii_ligand,292,498642
1hii_ligand,293,484144
1hii_ligand,294,386676
1hii_ligand,295,447566
1hii_ligand,296,405736
1hii_ligand,297,443487
1hii_ligand,298,454388
1hii_ligand,299,513029
