ligand,iteration,com_distance
2ya6_ligand,0,0
2ya6_ligand,1,0.389636
2ya6_ligand,2,0.751326
2ya6_ligand,3,0.691565
2ya6_ligand,4,0.746926
2ya6_ligand,5,0.838158
2ya6_ligand,6,0.78032
2ya6_ligand,7,0.932161
2ya6_ligand,8,0.756749
2ya6_ligand,9,0.897169
2ya6_ligand,10,0.707388
2ya6_ligand,11,0.843289
2ya6_ligand,12,0.710702
2ya6_ligand,13,0.814744
2ya6_ligand,14,0.946722
2ya6_ligand,15,0.744895
2ya6_ligand,16,0.854812
2ya6_ligand,17,0.929352
2ya6_ligand,18,0.92738
2ya6_ligand,19,0.78627
2ya6_ligand,20,1.01725
2ya6_ligand,21,0.867943
2ya6_ligand,22,0.800328
2ya6_ligand,23,0.895783
2ya6_ligand,24,1.03109
2ya6_ligand,25,0.66332
2ya6_ligand,26,0.93196
2ya6_ligand,27,0.909978
2ya6_ligand,28,0.923237
2ya6_ligand,29,0.919345
2ya6_ligand,30,0.9733
2ya6_ligand,31,0.721382
2ya6_ligand,32,0.923685
2ya6_ligand,33,0.866679
2ya6_ligand,34,0.879612
2ya6_ligand,35,0.703031
2ya6_ligand,36,1.01345
2ya6_ligand,37,0.856186
2ya6_ligand,38,0.912765
2ya6_ligand,39,0.895621
2ya6_ligand,40,0.79782
2ya6_ligand,41,0.823074
2ya6_ligand,42,0.942528
2ya6_ligand,43,0.901644
2ya6_ligand,44,0.898281
2ya6_ligand,45,1.03039
2ya6_ligand,46,0.802519
2ya6_ligand,47,0.844811
2ya6_ligand,48,0.857738
2ya6_ligand,49,0.968697
2ya6_ligand,50,0.798887
2ya6_ligand,51,1.03636
2ya6_ligand,52,0.870974
2ya6_ligand,53,0.908593
2ya6_ligand,54,0.807729
2ya6_ligand,55,1.00602
2ya6_ligand,56,0.672475
2ya6_ligand,57,1.09972
2ya6_ligand,58,0.718882
2ya6_ligand,59,0.813666
2ya6_ligand,60,0.919682
2ya6_ligand,61,0.8727
2ya6_ligand,62,0.875385
2ya6_ligand,63,1.04142
2ya6_ligand,64,0.673816
2ya6_ligand,65,0.904079
