ligand,iteration,com_distance
1fkb_ligand,0,0
1fkb_ligand,1,0.383886
1fkb_ligand,2,0.721698
1fkb_ligand,3,0.788744
1fkb_ligand,4,0.911281
1fkb_ligand,5,1.13197
1fkb_ligand,6,1.07965
1fkb_ligand,7,0.826516
1fkb_ligand,8,1.07162
1fkb_ligand,9,0.750008
1fkb_ligand,10,1.16951
1fkb_ligand,11,0.770408
1fkb_ligand,12,1.06058
1fkb_ligand,13,0.740572
1fkb_ligand,14,0.888973
1fkb_ligand,15,0.856962
1fkb_ligand,16,0.827588
1fkb_ligand,17,0.889007
1fkb_ligand,18,0.901133
1fkb_ligand,19,0.907577
1fkb_ligand,20,0.823271
1fkb_ligand,21,0.594426
1fkb_ligand,22,1.10859
1fkb_ligand,23,0.861374
1fkb_ligand,24,0.831072
1fkb_ligand,25,0.997779
1fkb_ligand,26,0.795049
1fkb_ligand,27,0.587738
1fkb_ligand,28,1.0372
1fkb_ligand,29,0.860811
1fkb_ligand,30,1.0237
1fkb_ligand,31,0.907372
1fkb_ligand,32,0.709703
1fkb_ligand,33,1.00927
1fkb_ligand,34,0.598727
1fkb_ligand,35,1.13868
1fkb_ligand,36,0.527967
1fkb_ligand,37,1.19142
1fkb_ligand,38,0.641003
1fkb_ligand,39,1.07528
1fkb_ligand,40,0.584255
1fkb_ligand,41,1.11189
1fkb_ligand,42,0.721013
1fkb_ligand,43,1.01808
1fkb_ligand,44,0.587136
1fkb_ligand,45,1.21332
1fkb_ligand,46,0.825315
1fkb_ligand,47,0.920516
1fkb_ligand,48,0.95534
1fkb_ligand,49,0.797786
1fkb_ligand,50,0.784306
1fkb_ligand,51,0.929509
1fkb_ligand,52,0.775404
1fkb_ligand,53,0.859484
1fkb_ligand,54,1.08708
1fkb_ligand,55,0.533442
1fkb_ligand,56,1.17796
1fkb_ligand,57,0.748124
1fkb_ligand,58,0.906278
1fkb_ligand,59,0.884298
1fkb_ligand,60,0.794649
1fkb_ligand,61,0.844125
1fkb_ligand,62,1.00974
1fkb_ligand,63,0.71806
1fkb_ligand,64,0.911017
1fkb_ligand,65,0.760548
1fkb_ligand,66,1.12133
1fkb_ligand,67,0.663258
1fkb_ligand,68,1.11136
1fkb_ligand,69,0.974526
1fkb_ligand,70,0.716858
1fkb_ligand,71,1.02871
1fkb_ligand,72,0.661727
1fkb_ligand,73,1.1582
1fkb_ligand,74,0.722735
1fkb_ligand,75,1.00254
1fkb_ligand,76,0.633211
1fkb_ligand,77,1.15677
1fkb_ligand,78,0.581806
1fkb_ligand,79,1.09704
1fkb_ligand,80,0.62647
1fkb_ligand,81,1.17405
1fkb_ligand,82,0.696668
1fkb_ligand,83,1.10394
1fkb_ligand,84,0.58807
1fkb_ligand,85,1.1486
1fkb_ligand,86,0.565229
1fkb_ligand,87,1.16457
1fkb_ligand,88,0.631179
1fkb_ligand,89,1.11621
1fkb_ligand,90,0.793354
1fkb_ligand,91,1.13321
1fkb_ligand,92,0.439327
1fkb_ligand,93,1.06115
1fkb_ligand,94,0.721784
1fkb_ligand,95,1.21739
1fkb_ligand,96,1.06035
1fkb_ligand,97,0.960858
1fkb_ligand,98,0.726712
1fkb_ligand,99,1.19395
1fkb_ligand,100,0.677797
1fkb_ligand,101,1.16788
1fkb_ligand,102,0.837697
1fkb_ligand,103,0.833469
1fkb_ligand,104,1.14486
1fkb_ligand,105,0.558665
1fkb_ligand,106,1.23492
1fkb_ligand,107,0.879861
1fkb_ligand,108,0.942406
1fkb_ligand,109,0.792503
1fkb_ligand,110,0.948701
1fkb_ligand,111,0.886462
1fkb_ligand,112,0.95782
1fkb_ligand,113,0.850891
1fkb_ligand,114,0.871039
1fkb_ligand,115,0.953089
1fkb_ligand,116,0.834413
1fkb_ligand,117,1.23629
1fkb_ligand,118,0.577352
1fkb_ligand,119,1.17803
1fkb_ligand,120,0.682388
1fkb_ligand,121,1.10904
1fkb_ligand,122,0.701236
1fkb_ligand,123,1.03571
1fkb_ligand,124,0.8634
1fkb_ligand,125,1.03478
1fkb_ligand,126,1.00561
1fkb_ligand,127,0.928915
1fkb_ligand,128,0.924007
1fkb_ligand,129,0.842221
1fkb_ligand,130,1.12397
1fkb_ligand,131,0.552017
1fkb_ligand,132,1.08637
1fkb_ligand,133,0.560405
1fkb_ligand,134,1.02319
1fkb_ligand,135,0.601106
1fkb_ligand,136,1.02118
1fkb_ligand,137,0.696738
1fkb_ligand,138,1.12731
1fkb_ligand,139,0.75551
1fkb_ligand,140,0.98607
1fkb_ligand,141,0.8395
1fkb_ligand,142,0.98431
1fkb_ligand,143,0.880348
1fkb_ligand,144,1.04767
1fkb_ligand,145,1.04315
1fkb_ligand,146,0.671095
1fkb_ligand,147,1.12399
1fkb_ligand,148,0.594185
1fkb_ligand,149,1.20392
1fkb_ligand,150,0.776739
1fkb_ligand,151,1.04922
1fkb_ligand,152,0.714733
1fkb_ligand,153,1.04124
1fkb_ligand,154,0.875955
1fkb_ligand,155,0.79604
1fkb_ligand,156,1.18593
1fkb_ligand,157,0.767122
1fkb_ligand,158,0.986325
1fkb_ligand,159,0.840476
1fkb_ligand,160,0.920992
1fkb_ligand,161,0.764516
1fkb_ligand,162,1.10708
1fkb_ligand,163,0.719068
1fkb_ligand,164,1.02348
1fkb_ligand,165,0.86529
1fkb_ligand,166,0.870544
1fkb_ligand,167,0.760062
1fkb_ligand,168,1.18441
1fkb_ligand,169,0.690363
1fkb_ligand,170,1.11626
1fkb_ligand,171,1.01327
1fkb_ligand,172,0.843638
1fkb_ligand,173,0.649077
1fkb_ligand,174,1.17292
1fkb_ligand,175,0.708478
1fkb_ligand,176,1.06625
1fkb_ligand,177,0.584664
1fkb_ligand,178,1.15054
1fkb_ligand,179,0.584316
1fkb_ligand,180,1.10821
1fkb_ligand,181,0.612778
1fkb_ligand,182,1.0996
1fkb_ligand,183,0.654521
1fkb_ligand,184,1.13006
1fkb_ligand,185,0.798821
1fkb_ligand,186,1.08668
1fkb_ligand,187,0.714523
1fkb_ligand,188,1.08321
1fkb_ligand,189,0.941061
1fkb_ligand,190,0.780709
1fkb_ligand,191,0.886854
1fkb_ligand,192,0.807792
1fkb_ligand,193,1.13328
1fkb_ligand,194,0.601113
1fkb_ligand,195,1.18755
1fkb_ligand,196,0.725734
1fkb_ligand,197,1.05394
1fkb_ligand,198,0.573936
1fkb_ligand,199,1.12117
1fkb_ligand,200,0.609762
1fkb_ligand,201,1.07457
1fkb_ligand,202,0.605871
1fkb_ligand,203,1.19417
1fkb_ligand,204,0.68334
1fkb_ligand,205,1.14769
1fkb_ligand,206,0.818591
1fkb_ligand,207,1.10126
1fkb_ligand,208,0.773909
1fkb_ligand,209,0.879739
1fkb_ligand,210,0.964661
1fkb_ligand,211,0.888222
1fkb_ligand,212,0.874539
1fkb_ligand,213,1.20043
1fkb_ligand,214,0.63217
1fkb_ligand,215,1.15577
1fkb_ligand,216,0.628001
1fkb_ligand,217,1.16608
1fkb_ligand,218,0.714315
1fkb_ligand,219,1.10892
1fkb_ligand,220,0.790821
1fkb_ligand,221,1.00967
1fkb_ligand,222,0.949404
1fkb_ligand,223,0.831916
1fkb_ligand,224,0.690827
1fkb_ligand,225,1.12796
1fkb_ligand,226,0.579097
1fkb_ligand,227,1.20998
1fkb_ligand,228,0.665272
1fkb_ligand,229,1.19831
1fkb_ligand,230,0.788755
1fkb_ligand,231,0.923561
1fkb_ligand,232,0.904111
1fkb_ligand,233,1.16675
1fkb_ligand,234,1.02217
1fkb_ligand,235,0.974346
1fkb_ligand,236,0.885421
1fkb_ligand,237,0.808649
1fkb_ligand,238,0.908623
1fkb_ligand,239,0.855798
1fkb_ligand,240,0.904365
1fkb_ligand,241,0.760458
1fkb_ligand,242,1.11943
1fkb_ligand,243,0.623975
1fkb_ligand,244,1.05092
1fkb_ligand,245,0.537196
1fkb_ligand,246,1.1899
1fkb_ligand,247,0.750287
1fkb_ligand,248,1.01864
1fkb_ligand,249,0.749989
1fkb_ligand,250,1.29011
1fkb_ligand,251,1.16346
1fkb_ligand,252,1.21177
1fkb_ligand,253,1.30169
1fkb_ligand,254,1.68852
1fkb_ligand,255,1.50656
1fkb_ligand,256,1.41521
1fkb_ligand,257,1.91637
1fkb_ligand,258,1.3376
1fkb_ligand,259,1.93748
1fkb_ligand,260,1.38071
1fkb_ligand,261,2.01195
1fkb_ligand,262,1.50149
1fkb_ligand,263,1.6153
1fkb_ligand,264,1.52381
1fkb_ligand,265,1.64123
1fkb_ligand,266,1.7145
1fkb_ligand,267,1.46378
1fkb_ligand,268,1.55169
1fkb_ligand,269,1.63115
1fkb_ligand,270,1.45812
1fkb_ligand,271,1.55746
1fkb_ligand,272,1.58035
1fkb_ligand,273,1.46774
1fkb_ligand,274,1.64749
1fkb_ligand,275,1.48596
1fkb_ligand,276,1.59824
1fkb_ligand,277,1.38647
1fkb_ligand,278,1.765
1fkb_ligand,279,1.47614
1fkb_ligand,280,1.62992
1fkb_ligand,281,1.4682
1fkb_ligand,282,1.49129
1fkb_ligand,283,1.74848
1fkb_ligand,284,1.34195
1fkb_ligand,285,1.85209
1fkb_ligand,286,1.34571
1fkb_ligand,287,1.85823
1fkb_ligand,288,1.38909
1fkb_ligand,289,1.8556
1fkb_ligand,290,1.37636
1fkb_ligand,291,1.86361
1fkb_ligand,292,1.36388
1fkb_ligand,293,1.86132
1fkb_ligand,294,1.3646
1fkb_ligand,295,1.87269
1fkb_ligand,296,1.35443
1fkb_ligand,297,1.85187
1fkb_ligand,298,1.37337
1fkb_ligand,299,1.91827
1fkb_ligand,300,1.31001
1fkb_ligand,301,1.89397
1fkb_ligand,302,1.3054
1fkb_ligand,303,1.82873
1fkb_ligand,304,1.3378
1fkb_ligand,305,1.87544
1fkb_ligand,306,1.38242
1fkb_ligand,307,1.74168
1fkb_ligand,308,1.47165
1fkb_ligand,309,1.64
1fkb_ligand,310,1.4395
1fkb_ligand,311,1.68436
1fkb_ligand,312,1.20353
1fkb_ligand,313,1.79768
1fkb_ligand,314,1.34205
1fkb_ligand,315,1.68347
1fkb_ligand,316,1.52984
1fkb_ligand,317,1.569
1fkb_ligand,318,1.59644
1fkb_ligand,319,1.77532
1fkb_ligand,320,1.71939
1fkb_ligand,321,1.70486
1fkb_ligand,322,1.69378
1fkb_ligand,323,1.61862
1fkb_ligand,324,1.67967
1fkb_ligand,325,1.80422
1fkb_ligand,326,1.84931
1fkb_ligand,327,1.82532
1fkb_ligand,328,1.6784
1fkb_ligand,329,1.77349
1fkb_ligand,330,1.73974
1fkb_ligand,331,1.98201
1fkb_ligand,332,1.87803
1fkb_ligand,333,2.03548
1fkb_ligand,334,1.82751
1fkb_ligand,335,2.10261
1fkb_ligand,336,1.87119
1fkb_ligand,337,1.78937
1fkb_ligand,338,2.08329
1fkb_ligand,339,1.67108
1fkb_ligand,340,1.96397
1fkb_ligand,341,1.94591
1fkb_ligand,342,1.95151
1fkb_ligand,343,2.07121
1fkb_ligand,344,1.77435
1fkb_ligand,345,2.11948
1fkb_ligand,346,1.66
1fkb_ligand,347,2.00818
1fkb_ligand,348,1.93033
1fkb_ligand,349,1.9388
1fkb_ligand,350,1.92277
1fkb_ligand,351,2.14886
1fkb_ligand,352,1.77889
1fkb_ligand,353,2.05922
1fkb_ligand,354,1.79585
1fkb_ligand,355,1.98762
1fkb_ligand,356,1.8541
1fkb_ligand,357,2.0815
1fkb_ligand,358,1.76662
1fkb_ligand,359,2.26023
1fkb_ligand,360,1.76161
1fkb_ligand,361,2.16605
1fkb_ligand,362,1.70027
1fkb_ligand,363,2.26389
1fkb_ligand,364,1.67248
1fkb_ligand,365,2.27919
1fkb_ligand,366,1.80857
1fkb_ligand,367,2.33345
1fkb_ligand,368,1.948
1fkb_ligand,369,2.12436
1fkb_ligand,370,1.98166
1fkb_ligand,371,2.00844
1fkb_ligand,372,2.0372
1fkb_ligand,373,2.05612
1fkb_ligand,374,2.00711
1fkb_ligand,375,2.22767
1fkb_ligand,376,1.92422
1fkb_ligand,377,2.2716
1fkb_ligand,378,1.89372
1fkb_ligand,379,2.208
1fkb_ligand,380,1.93142
1fkb_ligand,381,2.1128
1fkb_ligand,382,2.04578
1fkb_ligand,383,2.0774
1fkb_ligand,384,1.99142
