ligand,iteration,standalone_ls_score
4few_ligand,0,812503
4few_ligand,1,697643
4few_ligand,2,607127
4few_ligand,3,547986
4few_ligand,4,529875
4few_ligand,5,524814
4few_ligand,6,525903
4few_ligand,7,506992
4few_ligand,8,504491
4few_ligand,9,491210
4few_ligand,10,485695
4few_ligand,11,469505
4few_ligand,12,413542
4few_ligand,13,341798
4few_ligand,14,331880
4few_ligand,15,350030
4few_ligand,16,334868
4few_ligand,17,309549
4few_ligand,18,229519
4few_ligand,19,191128
4few_ligand,20,164645
4few_ligand,21,166145
4few_ligand,22,181451
4few_ligand,23,165585
4few_ligand,24,176291
4few_ligand,25,162515
4few_ligand,26,181454
4few_ligand,27,170352
4few_ligand,28,181150
4few_ligand,29,194250
4few_ligand,30,175203
4few_ligand,31,194312
4few_ligand,32,169460
4few_ligand,33,173517
4few_ligand,34,175339
4few_ligand,35,174648
4few_ligand,36,177054
4few_ligand,37,173445
4few_ligand,38,182251
4few_ligand,39,170356
4few_ligand,40,186440
4few_ligand,41,164203
4few_ligand,42,184768
4few_ligand,43,178533
4few_ligand,44,180347
4few_ligand,45,177818
4few_ligand,46,182241
4few_ligand,47,177139
4few_ligand,48,184526
4few_ligand,49,185265
4few_ligand,50,196655
4few_ligand,51,163751
4few_ligand,52,193716
4few_ligand,53,169394
4few_ligand,54,187095
4few_ligand,55,192085
4few_ligand,56,198471
4few_ligand,57,183707
4few_ligand,58,231466
4few_ligand,59,260458
4few_ligand,60,197888
4few_ligand,61,162740
4few_ligand,62,193894
4few_ligand,63,159140
4few_ligand,64,198062
4few_ligand,65,158663
4few_ligand,66,193795
4few_ligand,67,215873
4few_ligand,68,196820
4few_ligand,69,189490
4few_ligand,70,187126
4few_ligand,71,175570
4few_ligand,72,188483
4few_ligand,73,172645
4few_ligand,74,205183
4few_ligand,75,179428
4few_ligand,76,187078
4few_ligand,77,179962
4few_ligand,78,171197
4few_ligand,79,194472
4few_ligand,80,167250
4few_ligand,81,201174
4few_ligand,82,159078
4few_ligand,83,200501
4few_ligand,84,201854
4few_ligand,85,200014
4few_ligand,86,192075
4few_ligand,87,199410
4few_ligand,88,214084
4few_ligand,89,220732
4few_ligand,90,238877
4few_ligand,91,235666
4few_ligand,92,198374
4few_ligand,93,167428
4few_ligand,94,192585
4few_ligand,95,173298
4few_ligand,96,193302
4few_ligand,97,189537
4few_ligand,98,179471
4few_ligand,99,186887
4few_ligand,100,172759
4few_ligand,101,172931
4few_ligand,102,190510
4few_ligand,103,155701
4few_ligand,104,196835
4few_ligand,105,212169
4few_ligand,106,224906
4few_ligand,107,161418
4few_ligand,108,182213
4few_ligand,109,175456
4few_ligand,110,169289
4few_ligand,111,186444
4few_ligand,112,163970
4few_ligand,113,189134
4few_ligand,114,175097
4few_ligand,115,168190
4few_ligand,116,177605
4few_ligand,117,199122
4few_ligand,118,194132
4few_ligand,119,179410
4few_ligand,120,171089
4few_ligand,121,189105
4few_ligand,122,159569
4few_ligand,123,200998
4few_ligand,124,151860
4few_ligand,125,181256
4few_ligand,126,175442
4few_ligand,127,173897
4few_ligand,128,191638
4few_ligand,129,162512
4few_ligand,130,186076
4few_ligand,131,188664
4few_ligand,132,176547
4few_ligand,133,189415
4few_ligand,134,163576
4few_ligand,135,183104
4few_ligand,136,179935
4few_ligand,137,169621
4few_ligand,138,184051
4few_ligand,139,175455
4few_ligand,140,200913
4few_ligand,141,160569
4few_ligand,142,189232
4few_ligand,143,180336
4few_ligand,144,206214
4few_ligand,145,186330
4few_ligand,146,193514
4few_ligand,147,164262
4few_ligand,148,191343
4few_ligand,149,162824
4few_ligand,150,202239
4few_ligand,151,152128
4few_ligand,152,177407
4few_ligand,153,187920
4few_ligand,154,166053
4few_ligand,155,202275
4few_ligand,156,178306
4few_ligand,157,177891
4few_ligand,158,202545
4few_ligand,159,179752
4few_ligand,160,176836
4few_ligand,161,177536
4few_ligand,162,171428
4few_ligand,163,206588
4few_ligand,164,183414
4few_ligand,165,209415
4few_ligand,166,174794
4few_ligand,167,193244
4few_ligand,168,254606
4few_ligand,169,242759
4few_ligand,170,241496
4few_ligand,171,157210
4few_ligand,172,213616
4few_ligand,173,220661
4few_ligand,174,167788
4few_ligand,175,193019
4few_ligand,176,228359
4few_ligand,177,251115
4few_ligand,178,249488
4few_ligand,179,148734
4few_ligand,180,150799
4few_ligand,181,199078
4few_ligand,182,198220
4few_ligand,183,188622
4few_ligand,184,193128
4few_ligand,185,180048
4few_ligand,186,191427
4few_ligand,187,181580
4few_ligand,188,200183
4few_ligand,189,174879
4few_ligand,190,159035
4few_ligand,191,187324
4few_ligand,192,152583
4few_ligand,193,178394
4few_ligand,194,166292
4few_ligand,195,183754
4few_ligand,196,181368
4few_ligand,197,184209
4few_ligand,198,189082
4few_ligand,199,170614
4few_ligand,200,189690
4few_ligand,201,183811
4few_ligand,202,183001
4few_ligand,203,187514
4few_ligand,204,162765
4few_ligand,205,164659
4few_ligand,206,183567
4few_ligand,207,180682
4few_ligand,208,209355
4few_ligand,209,174498
4few_ligand,210,185759
4few_ligand,211,157932
4few_ligand,212,193499
4few_ligand,213,196007
4few_ligand,214,155249
4few_ligand,215,181076
4few_ligand,216,156422
4few_ligand,217,201664
4few_ligand,218,176522
4few_ligand,219,205289
4few_ligand,220,173660
4few_ligand,221,210232
4few_ligand,222,161816
4few_ligand,223,165179
4few_ligand,224,204957
4few_ligand,225,199968
4few_ligand,226,179234
4few_ligand,227,196694
4few_ligand,228,187851
4few_ligand,229,199939
4few_ligand,230,180200
4few_ligand,231,193193
4few_ligand,232,190276
4few_ligand,233,210026
4few_ligand,234,191222
4few_ligand,235,243121
4few_ligand,236,181486
4few_ligand,237,216844
4few_ligand,238,203310
4few_ligand,239,171831
4few_ligand,240,164513
4few_ligand,241,180405
4few_ligand,242,157835
4few_ligand,243,183949
4few_ligand,244,190141
4few_ligand,245,188180
4few_ligand,246,190248
4few_ligand,247,183475
4few_ligand,248,194897
4few_ligand,249,179128
4few_ligand,250,156123
4few_ligand,251,188399
4few_ligand,252,180521
4few_ligand,253,174398
4few_ligand,254,225099
4few_ligand,255,223076
4few_ligand,256,198060
4few_ligand,257,168107
4few_ligand,258,180311
4few_ligand,259,185137
4few_ligand,260,173389
4few_ligand,261,173452
4few_ligand,262,164284
4few_ligand,263,178571
4few_ligand,264,150209
4few_ligand,265,180491
4few_ligand,266,147385
4few_ligand,267,179644
4few_ligand,268,185533
4few_ligand,269,190915
4few_ligand,270,185547
4few_ligand,271,202834
4few_ligand,272,197371
4few_ligand,273,201637
4few_ligand,274,168452
4few_ligand,275,204738
4few_ligand,276,209246
4few_ligand,277,189199
4few_ligand,278,193553
4few_ligand,279,200942
4few_ligand,280,196318
4few_ligand,281,208312
4few_ligand,282,197668
4few_ligand,283,234399
4few_ligand,284,211104
4few_ligand,285,191266
4few_ligand,286,189400
4few_ligand,287,162935
4few_ligand,288,154195
4few_ligand,289,187373
4few_ligand,290,185501
4few_ligand,291,191802
4few_ligand,292,207195
4few_ligand,293,163807
4few_ligand,294,155922
4few_ligand,295,186531
4few_ligand,296,209511
4few_ligand,297,204655
4few_ligand,298,166164
4few_ligand,299,198899
4few_ligand,300,202722
4few_ligand,301,184244
4few_ligand,302,186709
4few_ligand,303,195824
4few_ligand,304,179567
4few_ligand,305,201286
4few_ligand,306,167074
4few_ligand,307,186212
4few_ligand,308,183646
4few_ligand,309,202510
4few_ligand,310,195718
4few_ligand,311,205108
4few_ligand,312,187953
4few_ligand,313,244072
4few_ligand,314,214858
4few_ligand,315,181714
4few_ligand,316,150316
4few_ligand,317,149217
4few_ligand,318,155709
4few_ligand,319,182272
4few_ligand,320,179084
4few_ligand,321,186580
4few_ligand,322,179747
4few_ligand,323,179103
4few_ligand,324,187826
4few_ligand,325,204998
4few_ligand,326,183196
4few_ligand,327,189493
4few_ligand,328,196549
4few_ligand,329,187713
4few_ligand,330,177211
4few_ligand,331,192621
4few_ligand,332,179171
4few_ligand,333,209888
4few_ligand,334,221397
4few_ligand,335,181223
4few_ligand,336,147565
4few_ligand,337,168614
4few_ligand,338,170265
4few_ligand,339,214993
4few_ligand,340,204575
4few_ligand,341,214128
4few_ligand,342,210579
4few_ligand,343,210670
4few_ligand,344,167460
4few_ligand,345,197366
4few_ligand,346,202079
4few_ligand,347,196966
4few_ligand,348,209113
4few_ligand,349,176113
4few_ligand,350,196265
4few_ligand,351,196414
4few_ligand,352,184742
4few_ligand,353,205563
4few_ligand,354,173102
4few_ligand,355,204540
4few_ligand,356,220360
4few_ligand,357,187687
4few_ligand,358,196737
4few_ligand,359,198384
4few_ligand,360,179501
4few_ligand,361,231002
4few_ligand,362,170949
4few_ligand,363,192230
4few_ligand,364,184259
4few_ligand,365,232957
4few_ligand,366,186214
4few_ligand,367,207745
4few_ligand,368,188237
4few_ligand,369,232838
4few_ligand,370,178391
4few_ligand,371,175894
4few_ligand,372,199055
4few_ligand,373,196935
4few_ligand,374,200433
4few_ligand,375,224268
4few_ligand,376,195417
4few_ligand,377,228805
4few_ligand,378,197021
4few_ligand,379,250730
4few_ligand,380,250258
4few_ligand,381,221331
4few_ligand,382,241149
4few_ligand,383,167682
4few_ligand,384,216576
4few_ligand,385,187428
4few_ligand,386,180484
4few_ligand,387,217176
4few_ligand,388,170444
4few_ligand,389,193997
4few_ligand,390,203235
4few_ligand,391,205957
4few_ligand,392,198784
4few_ligand,393,207493
4few_ligand,394,231191
4few_ligand,395,160656
4few_ligand,396,159937
4few_ligand,397,207131
4few_ligand,398,201752
4few_ligand,399,191785
4few_ligand,400,189085
4few_ligand,401,185195
4few_ligand,402,198139
4few_ligand,403,197858
4few_ligand,404,201298
