ligand,iteration,com_distance
5uez_ligand,0,0
5uez_ligand,1,0.389473
5uez_ligand,2,0.721072
5uez_ligand,3,0.88699
5uez_ligand,4,1.24107
5uez_ligand,5,0.950556
5uez_ligand,6,1.40048
5uez_ligand,7,1.67351
5uez_ligand,8,1.62455
5uez_ligand,9,1.55057
5uez_ligand,10,1.52043
5uez_ligand,11,1.62405
5uez_ligand,12,1.40824
5uez_ligand,13,1.44091
5uez_ligand,14,1.61643
5uez_ligand,15,1.52819
5uez_ligand,16,1.65075
5uez_ligand,17,1.37526
5uez_ligand,18,1.43114
5uez_ligand,19,1.45135
5uez_ligand,20,1.72706
5uez_ligand,21,1.2779
5uez_ligand,22,1.48148
5uez_ligand,23,1.43217
5uez_ligand,24,1.50162
5uez_ligand,25,1.37468
5uez_ligand,26,1.48679
5uez_ligand,27,1.45729
5uez_ligand,28,1.50468
5uez_ligand,29,1.37064
5uez_ligand,30,1.52283
5uez_ligand,31,1.36328
5uez_ligand,32,1.44633
5uez_ligand,33,1.36037
5uez_ligand,34,1.42223
5uez_ligand,35,1.5843
5uez_ligand,36,1.63234
5uez_ligand,37,1.42739
5uez_ligand,38,1.51553
5uez_ligand,39,1.34391
5uez_ligand,40,1.50124
5uez_ligand,41,1.4226
5uez_ligand,42,1.48683
5uez_ligand,43,1.46361
5uez_ligand,44,1.50994
5uez_ligand,45,1.37774
5uez_ligand,46,1.57221
5uez_ligand,47,1.39378
5uez_ligand,48,1.47679
5uez_ligand,49,1.51291
5uez_ligand,50,1.69072
5uez_ligand,51,1.23646
5uez_ligand,52,1.41601
5uez_ligand,53,1.4438
5uez_ligand,54,1.50911
5uez_ligand,55,1.45457
5uez_ligand,56,1.53906
5uez_ligand,57,1.48365
5uez_ligand,58,1.56409
5uez_ligand,59,1.40383
5uez_ligand,60,1.39419
5uez_ligand,61,1.60854
5uez_ligand,62,1.45288
5uez_ligand,63,1.55855
5uez_ligand,64,1.41535
5uez_ligand,65,1.46762
5uez_ligand,66,1.46116
5uez_ligand,67,1.5212
5uez_ligand,68,1.42373
5uez_ligand,69,1.47688
5uez_ligand,70,1.49046
5uez_ligand,71,1.5694
5uez_ligand,72,1.44328
5uez_ligand,73,1.588
5uez_ligand,74,1.45469
5uez_ligand,75,1.51258
5uez_ligand,76,1.52217
5uez_ligand,77,1.42128
5uez_ligand,78,1.64463
5uez_ligand,79,1.40185
5uez_ligand,80,1.65531
5uez_ligand,81,1.37674
5uez_ligand,82,1.66454
5uez_ligand,83,1.22867
5uez_ligand,84,1.64366
5uez_ligand,85,1.39126
5uez_ligand,86,1.64928
5uez_ligand,87,1.32949
5uez_ligand,88,1.61413
5uez_ligand,89,1.52705
5uez_ligand,90,1.65047
5uez_ligand,91,1.34068
5uez_ligand,92,1.65383
5uez_ligand,93,1.32775
5uez_ligand,94,1.68284
5uez_ligand,95,1.21772
5uez_ligand,96,1.6413
5uez_ligand,97,1.45319
5uez_ligand,98,1.47265
5uez_ligand,99,1.50799
5uez_ligand,100,1.45886
5uez_ligand,101,1.51428
5uez_ligand,102,1.45833
5uez_ligand,103,1.50262
5uez_ligand,104,1.47245
5uez_ligand,105,1.50268
5uez_ligand,106,1.45394
5uez_ligand,107,1.53559
5uez_ligand,108,1.36178
5uez_ligand,109,1.44425
5uez_ligand,110,1.58724
5uez_ligand,111,1.44895
