Backend,Population,Generations,Run,Total Evaluations,Time (s),Throughput (Evals/s)
CPP Serial,100,1000,1,100000,4.8,20833.333333333336
CPP Serial,100,1000,2,100000,4.89,20449.89775051125
CPP Serial,100,1000,3,100000,4.83,20703.933747412008
CPP Serial,100,1000,4,100000,4.81,20790.020790020793
CPP Serial,100,1000,5,100000,4.8,20833.333333333336
CPP Serial,100,1000,6,100000,4.8,20833.333333333336
CPP Serial,100,1000,7,100000,4.8,20833.333333333336
CPP Serial,100,1000,8,100000,4.8,20833.333333333336
CPP Serial,100,1000,9,100000,4.82,20746.887966804978
CPP Serial,100,1000,10,100000,4.87,20533.88090349076
Alpaka Serial (Unroll),100,1000,1,100000,12.2,8196.72131147541
Alpaka Serial (Unroll),100,1000,2,100000,12.28,8143.322475570033
Alpaka Serial (Unroll),100,1000,3,100000,12.38,8077.544426494345
Alpaka Serial (Unroll),100,1000,4,100000,12.17,8216.926869350862
Alpaka Serial (Unroll),100,1000,5,100000,12.13,8244.023083264632
Alpaka Serial (Unroll),100,1000,6,100000,12.14,8237.232289950576
Alpaka Serial (Unroll),100,1000,7,100000,12.15,8230.452674897118
Alpaka Serial (Unroll),100,1000,8,100000,12.19,8203.445447087777
Alpaka Serial (Unroll),100,1000,9,100000,12.2,8196.72131147541
Alpaka Serial (Unroll),100,1000,10,100000,12.11,8257.638315441784
Alpaka Serial (No Unroll),100,1000,1,100000,6.23,16051.364365971107
Alpaka Serial (No Unroll),100,1000,2,100000,6.33,15797.788309636651
Alpaka Serial (No Unroll),100,1000,3,100000,6.27,15948.96331738437
Alpaka Serial (No Unroll),100,1000,4,100000,6.27,15948.96331738437
Alpaka Serial (No Unroll),100,1000,5,100000,6.27,15948.96331738437
Alpaka Serial (No Unroll),100,1000,6,100000,6.39,15649.45226917058
Alpaka Serial (No Unroll),100,1000,7,100000,6.27,15948.96331738437
Alpaka Serial (No Unroll),100,1000,8,100000,6.27,15948.96331738437
Alpaka Serial (No Unroll),100,1000,9,100000,6.32,15822.78481012658
Alpaka Serial (No Unroll),100,1000,10,100000,6.24,16025.641025641025
CPP OMP,100,1000,1,100000,4.86,20576.131687242796
CPP OMP,100,1000,2,100000,4.86,20576.131687242796
CPP OMP,100,1000,3,100000,4.78,20920.502092050207
CPP OMP,100,1000,4,100000,4.85,20618.556701030928
CPP OMP,100,1000,5,100000,4.79,20876.826722338203
CPP OMP,100,1000,6,100000,4.8,20833.333333333336
CPP OMP,100,1000,7,100000,4.79,20876.826722338203
CPP OMP,100,1000,8,100000,4.79,20876.826722338203
CPP OMP,100,1000,9,100000,4.78,20920.502092050207
CPP OMP,100,1000,10,100000,4.86,20576.131687242796
Alpaka OMP (Unroll),100,1000,1,100000,5.74,17421.602787456446
Alpaka OMP (Unroll),100,1000,2,100000,5.78,17301.038062283737
Alpaka OMP (Unroll),100,1000,3,100000,5.75,17391.304347826088
Alpaka OMP (Unroll),100,1000,4,100000,5.7,17543.859649122805
Alpaka OMP (Unroll),100,1000,5,100000,5.64,17730.49645390071
Alpaka OMP (Unroll),100,1000,6,100000,5.63,17761.989342806395
Alpaka OMP (Unroll),100,1000,7,100000,5.87,17035.775127768313
Alpaka OMP (Unroll),100,1000,8,100000,5.55,18018.018018018018
Alpaka OMP (Unroll),100,1000,9,100000,5.53,18083.182640144663
Alpaka OMP (Unroll),100,1000,10,100000,5.59,17889.08765652952
Alpaka OMP (No Unroll),100,1000,1,100000,5.56,17985.61151079137
Alpaka OMP (No Unroll),100,1000,2,100000,5.62,17793.59430604982
Alpaka OMP (No Unroll),100,1000,3,100000,5.56,17985.61151079137
Alpaka OMP (No Unroll),100,1000,4,100000,5.5,18181.81818181818
Alpaka OMP (No Unroll),100,1000,5,100000,5.43,18416.20626151013
Alpaka OMP (No Unroll),100,1000,6,100000,5.51,18148.820326678768
Alpaka OMP (No Unroll),100,1000,7,100000,5.63,17761.989342806395
Alpaka OMP (No Unroll),100,1000,8,100000,5.44,18382.35294117647
Alpaka OMP (No Unroll),100,1000,9,100000,5.45,18348.623853211007
Alpaka OMP (No Unroll),100,1000,10,100000,5.44,18382.35294117647
